N,factor,d,r999,support_energy_fraction,kernel_min,kernel_max,support_strictly_behind_payload,actual_driver,actual_sign,gross_outward,gross_inward,cancellation,scaffold_suppression_to_flip,actual_negative_energy_fraction,repulsive_DEC_p10,repulsive_DEC_p50,repulsive_DEC_p90,packet_relocation_bound,packet_relocation_sign,packet_negative_centroid,packet_positive_centroid,current_negative_centroid,current_positive_centroid,ideal_DEC_Laue_bound,ideal_DEC_Laue_sign,ideal_negative_energy_fraction,ideal_lower_saturated_energy_fraction,ideal_upper_saturated_energy_fraction,current_mass_DEC_bound,current_mass_DEC_sign,actual_eta_norm,packet_eta_norm,ideal_Laue_eta_norm,current_mass_eta_norm
73,1.1,1.606699481456107,1.4606358922328244,0.9990187544540227,-0.018446795147073064,-7.537382006987235e-05,True,-704.9122288300767,INWARD,23.071446589526488,-727.9836754196033,1.0654590618404154,0.9683077418237046,0.051312388087195834,0.17080431397435175,0.531631571499872,0.9511588719576255,-91.63605047681637,INWARD,0.8944129418497317,-0.7487822866420343,1.9112154900486953e-10,1.131670860618678e-10,231.15210163579962,OUTWARD,0.4998833020987883,0.4998833020987883,0.49991596859690557,211.82492590091638,OUTWARD,-0.8445516251709242,-0.10978866898490953,0.27694211437101923,0.2537863270129957
73,1.25,1.8257948652910305,1.4606358922328244,0.9990187544540227,-0.004372636557269288,-6.568249692847925e-05,True,-550.5899519684419,INWARD,17.329608136680875,-567.9195601051229,1.0629492349968426,0.9694858051138913,0.051312388087195834,0.16001647469502686,0.532750344543218,0.9511588721040523,-131.17960894655687,INWARD,0.9283931004330905,-0.7654277724425936,1.9112154900486953e-10,1.131670860618678e-10,111.4476699067513,OUTWARD,0.5000058313131275,0.4998283215844138,0.49999416868687246,95.45144236491097,OUTWARD,-0.6596589188266446,-0.15716559791986104,0.13352486578006081,0.11435986989186815
73,1.5,2.1909538383492366,1.4606358922328244,0.9990187544540227,-0.001216005267063937,-5.322148003338805e-05,True,-384.25448269650724,INWARD,11.822463480271407,-396.0769461767787,1.061534550734749,0.9701510941386758,0.051312388087195834,0.15941981377255812,0.5327660052529513,0.9511588721490037,-135.57782181769034,INWARD,0.9533514754929656,-0.7804918437119154,1.9112154900486953e-10,1.131670860618678e-10,12.884087736253901,OUTWARD,0.49992374081699475,0.49992374081699475,0.4998340034024612,0.9427582146907438,OUTWARD,-0.46037326998731365,-0.16243507357405462,0.015436357593848754,0.0011295136469426145
73,2.0,2.921271784465649,1.4606358922328244,0.9990187544540227,-0.0003182494252876233,-3.6966610094496026e-05,True,-216.5888769913064,INWARD,6.6009498510026745,-223.18982684230903,1.0609537289513498,0.9704245039104472,0.051312388087195834,0.1586365600486038,0.5327660053710673,0.9511588721581203,-105.86102366774699,INWARD,0.9744273540661471,-0.7940324717965482,1.9112154900486953e-10,1.131670860618678e-10,-42.683623018760066,INWARD,0.4999798684402999,0.4999798684402999,0.4999732372948679,-49.92484137432324,INWARD,-0.25949399169956416,-0.12683153437306166,-0.05113902371718762,-0.059814689254382616
81,1.1,1.6112920204768197,1.4648109277061996,0.9990267223299605,-0.015647366818015863,-5.46737622635579e-05,True,-697.2720243077542,INWARD,22.850021624910134,-720.1220459326644,1.0655411972037612,0.9682692374799942,0.051465043743791114,0.18187183825534273,0.4788201982479412,0.9413176253612603,-91.0975367818332,INWARD,0.8717603929166713,-0.7497214898453519,6.48774304218215e-10,2.1442096481469348e-10,229.74497214840414,OUTWARD,0.49996730926833244,0.49996730926833244,0.49992180230742217,213.72667506413492,OUTWARD,-0.8394981634663032,-0.10967916703753879,0.27660722854280934,0.25732159751888856
81,1.25,1.8310136596327495,1.4648109277061996,0.9990267223299605,-0.0032317940066197686,-4.764702750375662e-05,True,-544.5769146150194,INWARD,17.161443978636402,-561.7383585936558,1.0630267039166301,0.9694493998565434,0.051465043743791114,0.18079863358977258,0.4788202080641123,0.9414092315263086,-129.66656473333683,INWARD,0.9050476008666,-0.7663238559979243,6.48774304218215e-10,2.1442096481469348e-10,110.66946109243301,OUTWARD,0.5000541647809731,0.49987426892040904,0.49994583521902686,97.38333527878574,OUTWARD,-0.6556570516927457,-0.15611531677997686,0.13324327679880762,0.11724711198606842
81,1.5,2.1972163915592993,1.4648109277061996,0.9990267223299605,-0.0008808071351172622,-3.861003561703132e-05,True,-380.037994281495,INWARD,11.70660269675426,-391.7445969782492,1.0616075385772252,0.9701167475261842,0.051465043743791114,0.17826942065697876,0.4788202089437668,0.941409232030374,-134.10887258745677,INWARD,0.9235635165949427,-0.7815064190110195,6.48774304218215e-10,2.1442096481469348e-10,12.65015794323699,OUTWARD,0.4999460924878721,0.4999460924878721,0.4999361788529402,2.7239560761106167,OUTWARD,-0.4575562866780349,-0.16146374487557996,0.015230475324819397,0.003279575321450782
81,2.0,2.929621855412399,1.4648109277061996,0.9990267223299605,-0.00023003388918304331,-2.6818713177822685e-05,True,-214.20626340232488,INWARD,6.536216805044211,-220.74248020736908,1.0610273173270177,0.9703898551882538,0.051465043743791114,0.17772698116395913,0.47898205413552797,0.9414092326969472,-104.72962389899786,INWARD,0.9435020085358273,-0.794708887443591,6.48774304218215e-10,2.1442096481469348e-10,-42.55894073168116,INWARD,0.49993660971277504,0.49993660971277504,0.4998745260131562,-48.58056929928269,INWARD,-0.25789900994201,-0.1260918606493813,-0.05123990542828416,-0.05848979635657204
