N,direction,direction_x,direction_y,direction_z,standoff_factor,d,payload_radius,mu_h,fp_center,gr_center,fp_cancellation,C_FP_center_alpha1,tail_energy_fraction
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.12,2.18754194571379,0.218754194571379,0.03,-756.6327706778966,-385.16803525616876,1.0055551008850556,inf,8.006649669044583e-07
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.12,2.18754194571379,0.218754194571379,0.1,-753.5772823604741,-385.16803525616876,1.0055543217258998,inf,8.006649669044583e-07
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.12,2.18754194571379,0.218754194571379,0.25,-737.9202618539547,-385.16803525616876,1.0055497826501159,inf,8.006649669044583e-07
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.12,2.18754194571379,0.218754194571379,0.5,-692.5329332730446,-385.16803525616876,1.005533418392414,inf,8.006649669044583e-07
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.12,2.18754194571379,0.218754194571379,1.0,-569.5583480563323,-385.16803525616876,1.005467979258444,inf,8.006649669044583e-07
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.12,2.18754194571379,0.218754194571379,2.0,-335.9580012741226,-385.16803525616876,1.0052175036297801,inf,8.006649669044583e-07
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.25,2.4414530644127117,0.2441453064412712,0.03,-608.0805697813099,-309.5939523475392,1.0055441688899762,inf,3.1718832534717375e-08
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.25,2.4414530644127117,0.2441453064412712,0.1,-605.602266417189,-309.5939523475392,1.0055435195745168,inf,3.1718832534717375e-08
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.25,2.4414530644127117,0.2441453064412712,0.25,-592.8901512008468,-309.5939523475392,1.0055397514982618,inf,3.1718832534717375e-08
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.25,2.4414530644127117,0.2441453064412712,0.5,-555.9843507909519,-309.5939523475392,1.0055262235228235,inf,3.1718832534717375e-08
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.25,2.4414530644127117,0.2441453064412712,1.0,-455.8062115799884,-309.5939523475392,1.0054722506951816,inf,3.1718832534717375e-08
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.25,2.4414530644127117,0.2441453064412712,2.0,-265.51370114752467,-309.5939523475392,1.0052642187663672,inf,3.1718832534717375e-08
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.5,2.929743677295254,0.2929743677295254,0.03,-422.59651985210144,-215.18236650350974,1.005536448969973,inf,7.210404782200207e-11
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.5,2.929743677295254,0.2929743677295254,0.1,-420.85365749743016,-215.18236650350974,1.0055359824738295,inf,7.210404782200207e-11
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.5,2.929743677295254,0.2929743677295254,0.25,-411.90306320684624,-215.18236650350974,1.005533284168981,inf,7.210404782200207e-11
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.5,2.929743677295254,0.2929743677295254,0.5,-385.87100258980865,-215.18236650350974,1.0055236295547503,inf,7.210404782200207e-11
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.5,2.929743677295254,0.2929743677295254,1.0,-315.0579283476891,-215.18236650350974,1.0054851497466786,inf,7.210404782200207e-11
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,1.5,2.929743677295254,0.2929743677295254,2.0,-180.59724968417044,-215.18236650350974,1.0053353340038893,inf,7.210404782200207e-11
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,2.0,3.9063249030603386,0.39063249030603386,0.03,-237.78435642986622,-121.08400404699486,1.0055332672332227,inf,6.153804668304748e-15
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,2.0,3.9063249030603386,0.39063249030603386,0.1,-236.79181663067027,-121.08400404699486,1.0055329991740114,inf,6.153804668304748e-15
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,2.0,3.9063249030603386,0.39063249030603386,0.25,-231.6886118649275,-121.08400404699486,1.0055314515672142,inf,6.153804668304748e-15
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,2.0,3.9063249030603386,0.39063249030603386,0.5,-216.82091422430145,-121.08400404699486,1.0055259235975929,inf,6.153804668304748e-15
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,2.0,3.9063249030603386,0.39063249030603386,1.0,-176.29779701898508,-121.08400404699486,1.0055038761983586,inf,6.153804668304748e-15
73,KNOWN_026P,-0.454350184463798,0.01878880658050992,0.8906249999999961,2.0,3.9063249030603386,0.39063249030603386,2.0,-99.40896089171187,-121.08400404699486,1.0054170667659803,inf,6.153804668304748e-15
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.12,2.18754194571379,0.218754194571379,0.03,-756.6327706252368,-385.16803522203406,1.0055551008854933,inf,8.006649669044583e-07
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.12,2.18754194571379,0.218754194571379,0.1,-753.5772823078294,-385.16803522203406,1.0055543217263394,inf,8.006649669044583e-07
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.12,2.18754194571379,0.218754194571379,0.25,-737.9202618014176,-385.16803522203406,1.005549782650564,inf,8.006649669044583e-07
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.12,2.18754194571379,0.218754194571379,0.5,-692.5329332209917,-385.16803522203406,1.0055334183928852,inf,8.006649669044583e-07
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.12,2.18754194571379,0.218754194571379,1.0,-569.5583480065495,-385.16803522203406,1.0054679792589762,inf,8.006649669044583e-07
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.12,2.18754194571379,0.218754194571379,2.0,-335.95800123287387,-385.16803522203406,1.0052175036304305,inf,8.006649669044583e-07
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.25,2.4414530644127117,0.2441453064412712,0.03,-608.0805697477563,-309.59395232488544,1.0055441688903726,inf,3.1718832534717375e-08
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.25,2.4414530644127117,0.2441453064412712,0.1,-605.6022663836449,-309.59395232488544,1.0055435195749147,inf,3.1718832534717375e-08
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.25,2.4414530644127117,0.2441453064412712,0.25,-592.8901511673733,-309.59395232488544,1.0055397514986675,inf,3.1718832534717375e-08
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.25,2.4414530644127117,0.2441453064412712,0.5,-555.9843507578018,-309.59395232488544,1.00552622352325,inf,3.1718832534717375e-08
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.25,2.4414530644127117,0.2441453064412712,1.0,-455.8062115483694,-309.59395232488544,1.0054722506956666,inf,3.1718832534717375e-08
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.25,2.4414530644127117,0.2441453064412712,2.0,-265.5137011216351,-309.59395232488544,1.005264218766974,inf,3.1718832534717375e-08
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.5,2.929743677295254,0.2929743677295254,0.03,-422.59651983597354,-215.18236649185346,1.0055364489703045,inf,7.210404782200207e-11
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.5,2.929743677295254,0.2929743677295254,0.1,-420.85365748130664,-215.18236649185346,1.0055359824741623,inf,7.210404782200207e-11
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.5,2.929743677295254,0.2929743677295254,0.25,-411.90306319075756,-215.18236649185346,1.00553328416932,inf,7.210404782200207e-11
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.5,2.929743677295254,0.2929743677295254,0.5,-385.87100257388505,-215.18236649185346,1.005523629555108,inf,7.210404782200207e-11
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.5,2.929743677295254,0.2929743677295254,1.0,-315.057928332563,-215.18236649185346,1.0054851497470871,inf,7.210404782200207e-11
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,1.5,2.929743677295254,0.2929743677295254,2.0,-180.59724967201277,-215.18236649185346,1.0053353340044127,inf,7.210404782200207e-11
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,2.0,3.9063249030603386,0.39063249030603386,0.03,-237.78435642451166,-121.08400404272082,1.0055332672334698,inf,6.153804668304748e-15
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,2.0,3.9063249030603386,0.39063249030603386,0.1,-236.7918166253171,-121.08400404272082,1.0055329991742592,inf,6.153804668304748e-15
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,2.0,3.9063249030603386,0.39063249030603386,0.25,-231.68861185958593,-121.08400404272082,1.0055314515674671,inf,6.153804668304748e-15
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,2.0,3.9063249030603386,0.39063249030603386,0.5,-216.82091421901845,-121.08400404272082,1.00552592359786,inf,6.153804668304748e-15
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,2.0,3.9063249030603386,0.39063249030603386,1.0,-176.2977970139941,-121.08400404272082,1.0055038761986652,inf,6.153804668304748e-15
73,KNOWN_026P_ANTIPODE,0.454350184463798,-0.01878880658050992,-0.8906249999999961,2.0,3.9063249030603386,0.39063249030603386,2.0,-99.40896088780309,-121.08400404272082,1.0054170667663813,inf,6.153804668304748e-15
73,X_PLUS,1.0,0.0,0.0,1.12,2.18754194571379,0.218754194571379,0.03,-758.9035659836204,-386.44198179670775,1.005525078307711,inf,8.006649669044583e-07
73,X_PLUS,1.0,0.0,0.0,1.12,2.18754194571379,0.218754194571379,0.1,-755.8475552199968,-386.44198179670775,1.0055241870651306,inf,8.006649669044583e-07
73,X_PLUS,1.0,0.0,0.0,1.12,2.18754194571379,0.218754194571379,0.25,-740.187522591682,-386.44198179670775,1.005519065323719,inf,8.006649669044583e-07
73,X_PLUS,1.0,0.0,0.0,1.12,2.18754194571379,0.218754194571379,0.5,-694.7894657702035,-386.44198179670775,1.005500902547278,inf,8.006649669044583e-07
73,X_PLUS,1.0,0.0,0.0,1.12,2.18754194571379,0.218754194571379,1.0,-571.7724580279012,-386.44198179670775,1.0054294664147756,inf,8.006649669044583e-07
73,X_PLUS,1.0,0.0,0.0,1.12,2.18754194571379,0.218754194571379,2.0,-338.01060007864726,-386.44198179670775,1.0051586436522042,inf,8.006649669044583e-07
73,X_PLUS,1.0,0.0,0.0,1.25,2.4414530644127117,0.2441453064412712,0.03,-609.0290218887159,-310.12308258052076,1.0055287010666203,inf,3.1718832534717375e-08
73,X_PLUS,1.0,0.0,0.0,1.25,2.4414530644127117,0.2441453064412712,0.1,-606.5504871699138,-310.12308258052076,1.0055279933526906,inf,3.1718832534717375e-08
73,X_PLUS,1.0,0.0,0.0,1.25,2.4414530644127117,0.2441453064412712,0.25,-593.8370380696408,-310.12308258052076,1.0055239212143592,inf,3.1718832534717375e-08
73,X_PLUS,1.0,0.0,0.0,1.25,2.4414530644127117,0.2441453064412712,0.5,-556.9264867349772,-310.12308258052076,1.0055094517266971,inf,3.1718832534717375e-08
73,X_PLUS,1.0,0.0,0.0,1.25,2.4414530644127117,0.2441453064412712,1.0,-456.72956684395416,-310.12308258052076,1.0054523165205491,inf,3.1718832534717375e-08
73,X_PLUS,1.0,0.0,0.0,1.25,2.4414530644127117,0.2441453064412712,2.0,-266.3657284753392,-310.12308258052076,1.0052333443229668,inf,3.1718832534717375e-08
73,X_PLUS,1.0,0.0,0.0,1.5,2.929743677295254,0.2929743677295254,0.03,-422.8203737520793,-215.3056253816858,1.005531268419089,inf,7.210404782200207e-11
73,X_PLUS,1.0,0.0,0.0,1.5,2.929743677295254,0.2929743677295254,0.1,-421.0774526649833,-215.3056253816858,1.005530782086572,inf,7.210404782200207e-11
73,X_PLUS,1.0,0.0,0.0,1.5,2.929743677295254,0.2929743677295254,0.25,-412.1265197071933,-215.3056253816858,1.0055279803037216,inf,7.210404782200207e-11
73,X_PLUS,1.0,0.0,0.0,1.5,2.929743677295254,0.2929743677295254,0.5,-386.0932524926736,-215.3056253816858,1.005518004052511,inf,7.210404782200207e-11
73,X_PLUS,1.0,0.0,0.0,1.5,2.929743677295254,0.2929743677295254,1.0,-315.27540776385587,-215.3056253816858,1.0054784343108607,inf,7.210404782200207e-11
73,X_PLUS,1.0,0.0,0.0,1.5,2.929743677295254,0.2929743677295254,2.0,-180.79666360923335,-215.3056253816858,1.0053247563407115,inf,7.210404782200207e-11
73,X_PLUS,1.0,0.0,0.0,2.0,3.9063249030603386,0.39063249030603386,0.03,-237.80791824586805,-121.09657777463312,1.0055323251807773,inf,6.153804668304748e-15
73,X_PLUS,1.0,0.0,0.0,2.0,3.9063249030603386,0.39063249030603386,0.1,-236.81537169830375,-121.09657777463312,1.0055320534668792,inf,6.153804668304748e-15
73,X_PLUS,1.0,0.0,0.0,2.0,3.9063249030603386,0.39063249030603386,0.25,-231.712127995679,-121.09657777463312,1.0055304867630925,inf,6.153804668304748e-15
73,X_PLUS,1.0,0.0,0.0,2.0,3.9063249030603386,0.39063249030603386,0.5,-216.84429140205634,-121.09657777463312,1.005524899238209,inf,6.153804668304748e-15
