C,R,Y_ann,Y_core,a,ann_X_over_r,axisymmetric_stress_free_isometric_embedding,cone_excess_factor_chi,core_X_over_r,direct_radial_span,direct_same_z_delta_X,direct_same_z_log_strain_lower_bound,direct_same_z_sigma_max_lower_bound,family,grading_geometry_identity_relerr,grading_geometry_identity_rhs,grading_times_chi,integrated_curvature_over_4pi,integrated_gaussian_curvature,interface_jump_factor,inverse_grading,k,optimistic_axisymmetric_embedding_log_strain_floor,q,rho_star_ann_over_core,strain_cap,t
95.76282060149315,7.266278695945127,0.9999872348645721,0.9999925762515578,2.178224849525107,2.718247129444843,False,7.388867456735129,0.36788217222600794,5.088053846420021,18.950211117759096,1.3149196632405975,3.7244517628469196,025A_INDEPENDENT_FRONTIER,0.0,1.0000003254525833,1.0000003254525833,-3.1944337283675646,-40.142438133675974,7.388906923641006,7.38886505200991,0.9499830608832187,0.9999872348645721,0.7397698923013534,0.1353387824734979,1.0,0.7397721896009032
36.711675459939784,5.3726484584114935,1.4998935096370183,1.4999547671209363,1.6430052094892909,4.481211839052911,False,20.08125954646797,0.22314025319624636,3.7296432489222027,23.709355280454762,1.8495571224636547,6.357003525017125,025A_INDEPENDENT_FRONTIER,2.2204458019590638e-16,1.0000001113700903,1.00000011137009,-9.540629773233984,-119.89108962484775,20.08248971157971,20.081257310016532,0.9499719617804967,1.4998935096370183,0.8906077488563684,0.04979767872907041,1.5,0.8906197835607588
27.60187050645949,4.951435910198631,1.9997328851338123,1.9999413286342944,1.5051309838225575,7.387082635781938,False,54.56898986787102,0.1353432237754472,3.4463049263760737,36.372956954860584,2.3565229364833726,10.554189989539953,025A_INDEPENDENT_FRONTIER,3.3306707943129503e-16,0.9999994834561603,0.9999994834561606,-26.784494933935513,-336.5838900582593,54.580365604694876,54.569018055161116,0.9499522433563298,1.9997328851338123,0.956207548047435,0.01832541679583,2.0,0.9562245079009085
24.928315410525027,4.783748859978117,2.4997554010031804,2.499741584869397,1.4642674115182281,12.179514499303414,False,148.3405734387421,0.08210621337052643,3.3194814484598894,58.14351314860803,2.863105738471316,17.515842173356432,025A_INDEPENDENT_FRONTIER,2.2204460053059683e-16,1.000000019790774,1.0000000197907737,-73.67028671937105,-925.7681261817191,148.33852395969188,148.34057050296744,0.9499786650963015,2.4997554010031804,0.9828353081353607,0.0067412441290293935,2.5,0.9828348614223112
23.992081161970432,4.738802309120408,2.9999218966538517,2.999850071159211,1.4470904445320998,20.083968236805408,False,403.36578013700847,0.04979453344491182,3.2917118645883083,95.10189786333633,3.3635411728151996,28.891319099471257,025A_INDEPENDENT_FRONTIER,3.1086243292713335e-15,1.0000000449327708,1.0000000449327677,-201.18289006850424,-2528.1387578687036,403.3368092307662,403.3657620126683,0.9499384295881647,2.9999218966538517,0.9933269424289671,0.002479139515982503,3.0,0.9933260348029722
23.643698308191635,4.709934659488281,3.499683671022208,3.497779560367487,1.4418920886739373,33.104978238283074,False,1095.9395841571961,0.030264509386263412,3.268042570814344,155.8786462494431,3.8648865923862865,47.69786282514693,025A_INDEPENDENT_FRONTIER,5.5511124442133904e-15,1.000000482590187,1.0000004825901814,-547.4697920785981,-6879.708307425821,1093.8547793974449,1095.9390552677687,0.9498919122989057,3.499683671022208,0.9974117936964488,0.0009124594978100055,3.5,0.9974024263500221
23.51009602135977,4.702687565072516,3.999661801057603,3.999994247833291,1.4384109579047366,54.57968811862215,False,2978.9423551260643,0.018315744243645463,3.2642766071677793,256.6448750537583,4.364655141832965,78.62228173011171,025A_INDEPENDENT_FRONTIER,9.880985245477814e-15,0.9999999669755685,0.9999999669755586,-1488.9711775630321,-18710.96365135586,2979.932859542863,2978.942453503975,0.9499222120464913,3.999661801057603,0.9989983322816752,0.0003356895997852366,4.0,0.9989989644158536
23.439485924549448,4.720861668851631,4.993065212553333,4.995982060577158,1.4381250307273197,147.38750584399423,False,21723.076878913434,0.006765074123037844,3.2827366381243115,695.7862977841271,5.3563651543546,211.95312767511106,025A_INDEPENDENT_FRONTIER,7.538414669923153e-14,0.9999999558636192,0.9999999558636946,-10861.038439456717,-136483.8342870143,21786.53229268836,21723.07783768983,0.9499394619875621,4.993065212553333,0.9998482305660111,4.60339923960953e-05,5.0,0.9998490692309082
23.43086164150956,4.701687663701613,5.854349139561133,5.854349139561133,1.4375752415693315,348.7478399976024,False,121625.05590299329,0.0028674012719530385,3.264112422132282,1639.699294954235,6.219280267707175,502.34155044301485,025A_INDEPENDENT_FRONTIER,1.6653345369377348e-13,1.0,1.0000000000001665,-60812.027951496646,-764186.4810492761,121625.05590299329,121625.05590297304,0.9050203088483756,5.854349139561133,0.99995,8.221990054399274e-06,6.0,0.99995
23.51038455027865,4.691939169741066,3.999858317026395,3.999607997363208,1.4399463244732487,54.59041495287174,False,2980.1134047267224,0.01832282007490309,3.2519928452678175,256.1085223323764,4.36633327843268,78.754331426361,025A_SELECTED,5.1070257863317065e-15,1.0000000248567402,1.0000000248567453,-1489.556702363361,-18718.321573000692,2979.367517102057,2980.113330650804,0.9499420066335426,3.999858317026395,0.9989988644611685,0.0003355577083981627,4.0,0.9989983884680703
