bin,radius_mid,int_S,int_K,int_SK,radialized_force,covariance_force
0,0.034164065772965935,0.0,0.0,0.0,0.0,0.0
1,0.1024921973188978,-1.2354712100020055,-0.05365541875238323,8.239512384246662,8.239506084746592,6.29950007002833e-06
2,0.17082032886482967,-3.6763911035335384,-0.16174829906333898,24.638838749745887,24.63741475818822,0.0014239915576652606
3,0.23914846041076154,-7.792935878613382,-0.37077252232324287,51.56440921557952,51.30569378994587,0.25871542563365324
4,0.3074765919566934,-7.493664673187542,-0.4692029859265462,54.51265302593417,48.55874722009526,5.953905805838907
5,0.3758047235026253,-2.4113500694874324,-0.4645544449407048,24.154092980727654,9.2824065424125,14.871686438315153
6,0.44413285504855715,31.838103409677856,-0.0925677206420815,-41.90415343911022,-14.652836741581025,-27.25131669752919
7,0.512460986594489,63.2082784121895,-0.0018022277646896762,-39.381599449359754,-0.5899665064977047,-38.79163294286205
8,0.5807891181404209,158.6233109687521,-0.00023583521885875425,-30.55971224880168,-0.12566921694415875,-30.434043031857524
9,0.6491172496863528,244.48724093780484,-0.00601883144926306,-22.452160760528542,-4.064534627794626,-18.387626132733917
10,0.7174453812322846,275.63646514979854,-0.0012076274645117652,-14.920718764964043,-0.8112494916184144,-14.10946927334563
11,0.7857735127782165,361.084151636074,0.0002098570999890803,-6.561405316096966,0.12902212626518036,-6.690427442362147
12,0.8541016443241484,250.72148619689176,0.0008774215963128218,-3.409704120627687,0.39628327456211804,-3.805987395189805
13,0.9224297758700802,237.31554914517704,-0.0006582559017647011,-2.280466158038365,-0.20017239363293554,-2.08029376440543
14,0.9907579074160121,137.42907652693157,0.000800515395225937,-0.7207820299896994,0.14244002600115277,-0.8632220559908522
15,1.059086038961944,96.52716178975675,-0.000563090941935171,-0.44841653333059917,-0.04895577747827736,-0.3994607558523218
16,1.1274141705078757,29.608846539285377,-0.00028321199669442687,-0.14138599281180309,-0.008613957510252401,-0.13277203530155068
17,1.1957423020538078,11.48186959076223,0.00020466420720030576,-0.026653029448705734,0.0019869737663892814,-0.028640003215095015
18,1.2640704335997395,-0.28684126187013437,0.00010693367195969972,-0.011317160165943835,-2.1180614702868285e-05,-0.011295979551240967
19,1.3323985651456716,-2.96880736582792,-9.712156909523484e-05,-0.001752396100768383,0.00019800405973342033,-0.0019504001605018034
20,1.4007266966916032,-2.547037986611852,-2.995977361658353e-05,-0.0002544200638996963,4.10598095084331e-05,-0.00029547987340812937
21,1.4690548282375353,-1.1809134180670242,0.00010192114657624207,-0.00022901471907502136,-6.20755070903154e-05,-0.00016693921198470595
