A_symmetry_rel,H_symmetry_rel,N,activation_translation_weighted_norm,common_translation_rayleigh,common_translation_residual,goldstone_floor,n,projected_lambda0,projected_lambda1,projected_lambda2,projected_lambda3,projected_lambda4,projected_lambda5,projected_over_goldstone_floor,quadrature_sum,raw_collocation_weighted_asymmetry_rel,relative_translation_overlap_lowest,relative_translation_rayleigh,rmax,source_translation_weighted_norm
2.2409774208204964e-17,3.1986595296154574e-17,112,3.4702960619923804,0.0014385732792409124,4.783241781636844e-05,0.01070926405213823,111,5.546283248352736e-05,0.00015951388752802123,0.00027483616532501614,0.0004446373044865348,0.0005051176178216387,0.0006687358060595369,0.005178958349846044,600.0,0.011643300400649238,0.9870476362454642,6.910316010041884e-05,600.0,15.833741254833397
1.3059751202365438e-17,2.860298073536305e-17,144,3.4702960580564177,-0.0002698992589990658,1.4204501390186258e-05,0.008675133946068012,143,-1.3839891320953359e-05,0.00015587267551926475,0.0002657278571888981,0.00043146523020964065,0.0005051176175749805,0.0006531152675635952,-0.0015953518881660915,600.0,0.011643341786109561,0.9995596017241455,-1.2957541737481119e-05,600.0,15.838214502194248
1.3236182344045156e-17,2.895647281007156e-17,176,3.4702960503164437,4.5128066563257265e-05,3.660682859682276e-06,0.004984116878688441,175,2.1357282348832354e-06,0.0001564485512803463,0.000267392122966958,0.0004339686970700668,0.0005051176191838334,0.0006561106364768745,0.00042850685224003965,600.0,0.011641592549871956,0.999988278590724,2.166673194863681e-06,600.0,15.837723127760748
1.9953158700465335e-17,3.040938572741124e-17,208,3.470296057446218,-7.582573162965721e-06,2.926712287644471e-06,0.0077685106532312705,207,-3.7565129083825475e-07,0.00015635119623114873,0.00026711751434875904,0.00043355883541602104,0.0005051176178549599,0.0006556212761326481,-4.8355638243477804e-05,600.0,0.01164018769729801,0.9999996302053104,-3.640588753968625e-07,600.0,15.837777858592675
2.593375380978941e-17,3.5892633455065717e-17,224,3.470296059053825,-1.3690596198564868e-05,1.1295628589057837e-06,0.0022679799861565083,223,-6.685003491196679e-07,0.0001316185377837829,0.00019366852236927807,0.0002869193125457232,0.0004113726329882779,0.0005051176177889214,-0.0002947558414095882,800.0,0.011639231596427789,0.9999988661889571,-6.573119057270295e-07,800.0,15.837783704233498
