case,gamma_source_only_budget,x3_onshell,Qt,Z1,Z3,E_gradient_J_safety10,E_bulk_signed_J_safety10,bare_cutoff_eV_safety10,signed_over_gradient
IDEAL_SMALL,132055458.60329044,24760398.363116954,99041593.45246783,99041593.95246781,7.572576026592837e-09,1.8696908462456667e+21,-1.8517715880597295e+29,2.2675906052881327,-99041592.4524678
006D_SMALL,3115397747.92643,584137077.6112057,2336548310.444823,2336548310.944823,3.209863012405358e-10,1.3663297519088736e+28,-3.192495471966843e+37,11.013953052487974,-2336548309.444823
IDEAL_MACRO,1.3205545860329042e+16,2476039848811695.0,9904159395246780.0,9904159395246780.0,7.572576026592839e-17,1.8696908651234994e+59,-1.8517716348019986e+75,226.75906052881325,-9904159395246780.0
006D_MACRO,3.1153977479264294e+17,5.841370777362055e+16,2.336548310944822e+17,2.336548310944822e+17,3.209863012405359e-18,1.3663297524936358e+66,-3.192495475382661e+83,1101.3953052487973,-2.3365483109448218e+17
