c2_over_static_cs,xi_over_kappa0,jiang_forward_positivity_compatible,z_t,z_s,interface_reflection,pure_j0_interface_reflection,finite_slab_reflection
-0.5,0.0,False,126.96546134344082,252.93092268688164,0.9921238422684496,0.9921238422684496,0.9896933475158316
-0.5,0.25,False,126.96546134344082,252.93092268688164,0.9919988281199444,0.9921238422684496,0.9894391124842564
-0.5,0.5,False,126.96546134344082,252.93092268688164,0.9915846881943003,0.9921238422684496,0.9885706929750644
-0.5,0.75,False,126.96546134344082,252.93092268688164,0.9907234946294454,0.9921238422684496,0.9866354802547073
-0.5,1.0,False,126.96546134344082,252.93092268688164,0.9889013671574431,0.9921238422684496,0.981964511655955
-0.25,0.0,False,189.94819201516123,252.93092268688164,0.9921238422684496,0.9921238422684496,0.9896933475158316
-0.25,0.25,False,189.94819201516123,252.93092268688164,0.9920620743957062,0.9921238422684496,0.9895681909052307
-0.25,0.5,False,189.94819201516123,252.93092268688164,0.9918676570338326,0.9921238422684496,0.9891684167819143
-0.25,0.75,False,189.94819201516123,252.93092268688164,0.9915092004009117,0.9921238422684496,0.9884080546360764
-0.25,1.0,False,189.94819201516123,252.93092268688164,0.9909168897704655,0.9921238422684496,0.9870853005886248
0.0,0.0,True,252.93092268688164,252.93092268688164,0.9921238422684496,0.9921238422684496,0.9896933475158316
0.0,0.25,True,252.93092268688164,252.93092268688164,0.9921238422684496,0.9921238422684496,0.9896933475158316
0.0,0.5,True,252.93092268688164,252.93092268688164,0.9921238422684496,0.9921238422684496,0.9896933475158316
0.0,0.75,True,252.93092268688164,252.93092268688164,0.9921238422684496,0.9921238422684496,0.9896933475158316
0.0,1.0,True,252.93092268688164,252.93092268688164,0.9921238422684496,0.9921238422684496,0.9896933475158316
0.25,0.0,True,315.91365335860206,252.93092268688164,0.9921238422684496,0.9921238422684496,0.9896933475158316
0.25,0.25,True,315.91365335860206,252.93092268688164,0.9921841884807544,0.9921238422684496,0.9898147609738144
0.25,0.5,True,315.91365335860206,252.93092268688164,0.992357220716824,0.9921238422684496,0.9901581731370322
0.25,0.75,True,315.91365335860206,252.93092268688164,0.9926216822980376,0.9921238422684496,0.9906695573253519
0.25,1.0,True,315.91365335860206,252.93092268688164,0.9929496421138482,0.9921238422684496,0.9912811984507817
1.0,0.0,True,504.8618453737633,252.93092268688164,0.9921238422684496,0.9921238422684496,0.9896933475158316
1.0,0.25,True,504.8618453737633,252.93092268688164,0.992357220716824,0.9921238422684496,0.9901581731370322
1.0,0.5,True,504.8618453737633,252.93092268688164,0.9929496421138482,0.9921238422684496,0.9912811984507817
1.0,0.75,True,504.8618453737633,252.93092268688164,0.9936896289411756,0.9921238422684496,0.9925707647138966
1.0,1.0,True,504.8618453737633,252.93092268688164,0.9944187803362593,0.9921238422684496,0.9937218484116098
4.0,0.0,True,1260.6546134344082,252.93092268688164,0.9921238422684496,0.9921238422684496,0.9896933475158316
4.0,0.25,True,1260.6546134344082,252.93092268688164,0.9929496421138482,0.9921238422684496,0.9912811984507817
4.0,0.5,True,1260.6546134344082,252.93092268688164,0.9944187803362593,0.9921238422684496,0.9937218484116098
4.0,0.75,True,1260.6546134344082,252.93092268688164,0.995617430042874,0.9921238422684496,0.9953730365363413
4.0,1.0,True,1260.6546134344082,252.93092268688164,0.9964644046944291,0.9921238422684496,0.9963825534389832
12.0,0.0,True,3276.1019949294614,252.93092268688164,0.9921238422684496,0.9921238422684496,0.9896933475158316
12.0,0.25,True,3276.1019949294614,252.93092268688164,0.9940354159100516,0.9921238422684496,0.9931311531267053
12.0,0.5,True,3276.1019949294614,252.93092268688164,0.9960482999585597,0.9921238422684496,0.9959008491906307
12.0,0.75,True,3276.1019949294614,252.93092268688164,0.997158753945129,0.9921238422684496,0.997136852562615
12.0,1.0,True,3276.1019949294614,252.93092268688164,0.9978053084500498,0.9921238422684496,0.9978020329777777
