bag_fraction,bag_energy_j,wall_energy_j,anisotropy_reserve_floor_j,support_preflight_j,static_subtotal_j,remaining_to_strict_10mj_j,tension_anisotropy_ratio,conditional_radial_gamma_threshold
0.0,0.0,1253212.0028170294,1357.6497058875393,1254569.652522917,3836894.826818912,6163105.173181089,1.0024394881385912,1.0
0.5,417737.33427234314,626606.0014085147,1357.6497058875393,1045700.9853867453,3628026.1596827405,6371973.84031726,1.0048829469075364,0.5
0.9,751927.2016902177,125321.20028170293,1357.6497058875393,878606.0516778082,3460931.225973803,6539068.774026196,1.0245747306779056,0.09999999999999998
0.95,793700.9351174519,62660.60014085153,1357.6497058875393,857719.184964191,3440044.359260186,6559955.640739813,1.0495553982106995,0.050000000000000044
0.98,818765.1751737926,25064.24005634061,1357.6497058875393,845187.0649360208,3427512.239232016,6572487.760767984,1.1270361592563014,0.020000000000000018
0.99,827119.9218592395,12532.120028170306,1357.6497058875393,841009.6915932973,3423334.865889292,6576665.134110708,1.265306839135331,0.010000000000000009
0.997,832968.2445390522,3759.6360084510916,1357.6497058875393,838085.5302533909,3420410.7045493857,6579589.295450615,2.114289506992568,0.0030000000000000027
