z_m,sigma,acceleration_m_s2
0.0,4.0312361312021583e-16,72.46188699257826
0.25,2.445068310115449e-16,43.950356121630776
0.5,1.483008895176777e-16,26.657238493057893
0.75,8.994903635512743e-17,16.16843244931141
1.0,5.4556848360991086e-17,9.80665
1.25,3.309040122823403e-17,5.948033894070896
1.5,2.007034288711652e-17,3.607664921763925
2.0,7.383466525431658e-18,1.3271857553523279
