kappa_over_lambda,phi_plus_over_phi0,phi_minus_over_phi0,phi_plus_positive,phi_minus_negative,opposite_sign_vacua
1e-06,1.000000500000125,-0.999999500000125,True,True,True
0.0001,1.00005000125,-0.9999500012499999,True,True,True
0.01,1.005012499921876,-0.995012499921876,True,True,True
0.1,1.0512492197250394,-0.9512492197250393,True,True,True
1.0,1.618033988749895,-0.6180339887498949,True,True,True
10.0,10.099019513592784,-0.09901951359278449,True,True,True
