source,scenario,Gamma_source_only_budget,minimum_kinetic_condition_number,minimum_soft_eigenvalue,critical_tuning_digits,unprotected_loop_margin,bare_cutoff_eV_safety1,canonical_background_J_safety1,bare_cutoff_eV_safety10,canonical_background_J_safety10
IDEAL_C1,ONE_G_ONE_M_ONE_TJ,1.3205545860329042e+16,5.282218344131617e+16,3.7862880132964194e-17,16.120756357775363,1.1958132748743111e-14,22.675906052881324,3.888344460948294e+21,226.75906052881325,3.888344460948295e+27
IDEAL_C1,POINT_ONE_G_ONE_CM_ONE_PJ,132055458.60329044,528221832.41316164,3.786288020464408e-09,8.120756357775363,1.195813274874311e-06,0.22675905967023816,0.38883443033321036,2.2675905967023815,388834.43033321033
006D_REFERENCE,ONE_G_ONE_M_ONE_TJ,3.1153977479264294e+17,1.2461590991705718e+18,1.6049315062026795e-18,17.493513501621894,5.06881249826078e-16,110.13953052487973,5.105475104485721e+25,1101.3953052487973,5.105475104485721e+31
006D_REFERENCE,POINT_ONE_G_ONE_CM_ONE_PJ,3115397747.92643,12461590989.705723,1.6049315063314692e-10,9.493513501621893,5.068812498260779e-08,1.101395305072031,5105.475095713394,11.01395305072031,5105475095.713392
