diagnostic,value,pass
GRID_ENERGY_RELATIVE_CHANGE,0.018145937359801818,True
GRID_SOURCE_COUNT_RELATIVE_CHANGE,0.00920032763280924,True
DOMAIN_ENERGY_RELATIVE_CHANGE,4.89624689811491e-05,True
SOURCE_WORK_RELATIVE_ERROR,0.00010012262865124409,True
