basis,tensor_norm,g00_numerator,g00_numerator_nonzero,maximum_offdiagonal_component,diag_00,diag_11,diag_22,diag_33
A,60.33977866125206,14.222222222222221,True,0.0,14.222222222222221,0.0,-56.8888888888889,-14.222222222222221
B,52.255781179374466,35.55555555555556,True,0.0,35.55555555555556,0.0,-14.222222222222221,-35.55555555555556
C,170.66666666666669,85.33333333333334,True,0.0,85.33333333333334,-85.33333333333334,-85.33333333333334,-85.33333333333334
