success,message,alpha_m,alpha_x,leakage_fraction,family,E_field_J,E_core_J,E_total_J,a_scalar_mps2,a_gr_mps2,a_total_mps2,Qabs_kg,Qnet_kg,monopole_fraction,dipole_normalized,cancellation,productive_participation,F50_core_fraction,F90_core_fraction,halfspace_floor_J,field_over_halfspace_floor,iterations
False,Positive directional derivative for linesearch,1.0,100000000000000.0,1.0,unrestricted,4554439259637.801,91062944570615.11,95617383830252.9,9.806649900109932,-4.9033249500549665e-14,9.806649900109882,101321190380.90245,-101321190380.90245,1.0,1.05,1.0,1.0,0.7550055916245844,1.0,958922874252.6343,4.749536570589623,13
True,Optimization terminated successfully,1.0,177827941003892.28,1.0,unrestricted,4319115350671.416,51377860136589.75,55696975487261.164,9.806649999858372,-2.757342278299147e-14,9.806649999858344,101656372029.1077,-101656372029.1077,1.0,1.0499999999999998,1.0,1.0,0.828579569210945,1.0,958922893760.0221,4.5041320618968435,7
True,Optimization terminated successfully,1.0,316227766016837.94,1.0,unrestricted,4103811309888.6113,29082504680360.266,33186315990248.875,9.806649999661046,-1.5505675107509187e-14,9.80664999966103,102327037471.6542,-102327037471.6542,1.0,1.05,1.0,1.0,0.8332112137974349,0.9608473205654051,958922893721.4319,4.279605103557755,6
True,Optimization terminated successfully,1.0,562341325190349.06,1.0,unrestricted,3245808245850.766,16971944887133.826,20217753132984.594,9.806649999332507,-8.719481887635607e-15,9.806649999332498,106191610403.87375,-106191610403.87375,1.0,1.0499999999999996,1.0,1.0,0.5823159314124755,0.9141313112011514,958922893657.1808,3.3848480074052305,6
True,Optimization terminated successfully,1.0,1000000000000000.0,1.0,unrestricted,2974483854080.4453,9739344269715.957,12713828123796.402,9.80664999989802,-4.9033249999490105e-15,9.806649999898015,108364819476.24948,-108364819476.24948,1.0,1.0499999999999998,1.0,1.0,0.9363101966202745,0.9363101966202745,958922893767.776,3.101900969736135,10
True,Optimization terminated successfully,1.0,1778279410038922.8,1.0,unrestricted,2728580361821.8926,5675120829685.394,8403701191507.286,9.806649999827487,-2.7573422782996355e-15,9.806649999827483,112288093127.83685,-112288093127.49605,0.9999999999969649,1.0499999999968133,1.0,1.0,0.82713293763737,0.9516229837755039,958922893753.982,2.845463779824958,8
True,Optimization terminated successfully,1.0,3162277660168379.5,1.0,unrestricted,2566352311412.1704,3308137839129.091,5874490150541.262,9.806650000026872,-1.5505675108151691e-15,9.80665000002687,116397108277.4588,-116397108276.73714,0.9999999999938,1.049999999994034,1.0000000000000435,0.9999999999996926,0.6895520171780277,0.9617798727599665,958922893792.975,2.6762864126239423,9
True,Optimization terminated successfully,1.0,5623413251903491.0,1.0,unrestricted,2475281208273.7617,1931322824010.8914,4406604032284.653,9.806650000001532,-8.719481888230672e-16,9.806650000001532,120840765307.30998,-120840765307.3039,0.9999999999999496,1.0499999999999947,1.0000000000000004,0.9999999999999902,0.5928869525345589,0.8988539897328923,958922893788.0195,2.5813141226566128,9
True,Optimization terminated successfully,1.0,1e+16,1.0,unrestricted,2424079110251.9443,1122921357183.6687,3547000467435.6133,9.806650000044424,-4.903325000027597e-16,9.806650000044424,124941851101.42143,-124941851101.13322,0.9999999999976933,1.0499999999982783,1.0000000000004483,0.9999999999985348,0.6104570478798577,0.9723277225818752,958922893796.4076,2.527918694958814,10
True,Optimization terminated successfully,1.0,1.7782794100389228e+16,1.0,unrestricted,2403980625130.53,646675160861.8114,3050655785992.3413,9.806649999978847,-2.757342278337851e-16,9.806649999978847,127951320977.13484,-127951320976.9062,0.9999999999982131,1.0499999999980307,1.0000000000003741,0.9999999999997109,0.5764126607589724,0.9561017587726617,958922893783.5826,2.506959256802434,12
True,Optimization terminated successfully,1.0,3.162277660168379e+16,1.0,unrestricted,2392735977732.6963,371746794445.77466,2764482772178.4707,9.806650000074287,-1.5505675108317245e-16,9.806650000074287,130799422482.02843,-130799422479.82266,0.9999999999831363,1.0499999999814904,1.0000000000022822,0.9999999999905913,0.5484035284814232,0.9179410405647437,958922893802.2476,2.49523292560594,13
