source,C_source,scenario,accel_m_s2,h_m,budget_J,alpha,region_ratio,qtime_floor,cutoff_safety,gamma_opt,E_source_J,E_background_canonical_J,E_total_no_cancel_J,budget_ratio,meets_budget_no_cancel,gamma_source_only_budget,gamma_best_cancellation,allowed_background_residual_fraction,required_interaction_cancellation_fraction,cancellation_digits,Q3,Qt,Q1,Q2,Z_min,x1,x2,x3,xnorm2,bare_cutoff_eV,effective_cutoff_eV,canonical_background_J,critical_control_digits
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,0.5,0.001,1.0,33956827100666.16,388892219558109.9,129630638577746.4,518522858135856.25,518.5228581358563,False,1.3205545860329042e+16,1.76073913282382e+16,1.3833382166188495e-11,0.9999999999861666,10.859071624913442,2.944915898754309e-14,0.001,0.5009999999999852,0.5009999999999852,2.944915898754309e-14,-0.24999999999999264,-0.24999999999999264,0.0004999999999852755,0.12500024999999262,2.299746769490775,3.946539608e-07,129630638577746.4,13.530927103331365
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,0.5,0.001,10.0,1073809572251.0089,1.2297847031337668e+16,4099285474340552.5,1.639713250567822e+16,16397.13250567822,False,1.3205545860329042e+16,1.760739132839232e+16,1.3833382166188452e-17,1.0,16.859071624913444,9.312638160830027e-13,0.001,0.5009999999995344,0.5009999999995344,9.312638160830027e-13,-0.2499999999997672,-0.2499999999997672,0.0004999999995343681,0.12500024999976672,4.089593118262634,3.946539608e-06,4099285474340552.5,12.030927271071462
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,0.5,0.001,100.0,33956836819.63607,3.888921082511646e+17,1.2963074986558474e+17,5.185228581167493e+17,518522.8581167493,False,1.3205545860329042e+16,1.760739132839232e+16,1.383338216618846e-23,1.0,22.859071624913444,2.944915055960641e-11,0.001,0.5009999999852754,0.5009999999852754,2.944915055960641e-11,-0.24999999999263772,-0.24999999999263772,0.0004999999852754247,0.125000249992623,7.272438873840205,3.946539608e-05,1.2963074986558474e+17,10.530927227620378
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,0.5,0.01,1.0,33955146464752.652,388911468075602.0,129637054984859.89,518548523060461.9,518.5485230604619,False,1.3205545860329042e+16,1.7607391328277234e+16,1.3830643704211917e-11,0.9999999999861694,10.859157606536998,2.9450616596164167e-14,0.01,0.5099999999999852,0.5099999999999852,2.9450616596164167e-14,-0.24999999999999264,-0.24999999999999264,0.004999999999985275,0.1250249999999925,2.2996898577418374,3.9465396080000004e-07,129637054984859.89,13.53090560812617
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,0.5,0.01,10.0,1073756425054.16,1.229845573186019e+16,4099488369995197.5,1.6397944101855388e+16,16397.944101855388,False,1.3205545860329042e+16,1.7607391328315116e+16,1.3830643704211875e-17,1.0,16.859157606537,9.31309910392845e-13,0.01,0.5099999999995344,0.5099999999995344,9.31309910392845e-13,-0.2499999999997672,-0.2499999999997672,0.004999999999534345,0.12502499999976252,4.0894919117239885,3.946539608e-06,4099488369995197.5,12.030905775541775
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,0.5,0.01,100.0,33955156169.00886,3.889113569261639e+17,1.296371661150535e+17,5.185485230412174e+17,518548.5230412174,False,1.3205545860329042e+16,1.7607391328237768e+16,1.3830643704212079e-23,1.0,22.859157606536993,2.945060818015493e-11,0.01,0.5099999999852747,0.5099999999852747,2.945060818015493e-11,-0.24999999999263736,-0.24999999999263736,0.004999999985274696,0.12502499999249012,7.272258901538057,3.946539608e-05,1.296371661150535e+17,10.530905732233144
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,0.5,0.1,1.0,33789151598864.03,390822060793411.7,130273930258706.94,521095991052118.6,521.0959910521186,False,1.3205545860329042e+16,1.7607391328316124e+16,1.3562166502894857e-11,0.9999999999864378,10.867670928087266,2.959529768227886e-14,0.1,0.5999999999999852,0.5999999999999852,2.959529768227886e-14,-0.2499999999999926,-0.2499999999999926,0.0499999999999852,0.12749999999999112,2.294061780151273,3.946539608e-07,130273930258706.94,13.528777287348797
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,0.5,0.1,10.0,1068507146893.98,1.2358874621209558e+16,4119627491844506.0,1.6478502113054064e+16,16478.502113054063,False,1.3205545860329042e+16,1.7607391328237768e+16,1.3562166502895057e-17,1.0,16.86767092808726,9.358851767232573e-13,0.1,0.599999999999532,0.599999999999532,9.358851767232573e-13,-0.24999999999976602,-0.24999999999976602,0.04999999999953206,0.12749999999971923,4.079483505387712,3.946539608e-06,4119627491844506.0,12.028777431362796
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,0.5,0.1,100.0,33789160639.789333,3.908219562216203e+17,1.3027403480986424e+17,5.2109599103148454e+17,521095.99103148456,False,1.3205545860329042e+16,1.7607391328237768e+16,1.3562166502895064e-23,1.0,22.86767092808726,2.959528976437546e-11,0.1,0.5999999999852024,0.5999999999852024,2.959528976437546e-11,-0.24999999999260117,-0.24999999999260117,0.04999999998520236,0.1274999999911214,7.254461288845062,3.946539608e-05,1.3027403480986424e+17,10.528777403539626
IDEAL_C1,1.0,ONE_G_ONE_M_ONE_TJ,9.80665,1.0,1000000000000.0,1.0,0.5,1.0,1.0,25801627021196.066,511810586575826.0,170603530931776.6,682414117507602.6,682.4141175076027,False,1.3205545860329042e+16,1.7607391328277234e+16,4.611136610984279e-12,0.9999999999953889,11.336192011045009,3.875724578060669e-14,1.0,1.4999999999999807,1.4999999999999807,3.875724578060669e-14,-0.2499999999999903,-0.2499999999999903,0.4999999999999806,0.3749999999999709,2.004656711208861,3.9465396080000004e-07,170603530931776.6,13.41164709294182
