seconds,effective_rabi_omega_rad_s,effective_mix_hbar_omega_eV,mix_scale_over_mA,endpoint_energy_input_J,endpoint_average_input_power_W,charge_conversion_rate_per_s,reset_unrecovered_release_J,reset_unrecovered_average_power_W
10.0,0.15707963267948966,1.0339169241510008e-16,3.234221319925241e-10,30737879934.947556,3073787993.4947557,2.2018036001115653e+34,30737879934.947556,3073787993.4947557
1.0,1.5707963267948966,1.0339169241510009e-15,3.234221319925241e-09,30737879934.947556,30737879934.947556,2.2018036001115653e+35,30737879934.947556,30737879934.947556
0.1,15.707963267948966,1.0339169241510009e-14,3.234221319925241e-08,30737879934.947556,307378799349.4755,2.2018036001115652e+36,30737879934.947556,307378799349.4755
0.01,157.07963267948966,1.0339169241510009e-13,3.234221319925241e-07,30737879934.947556,3073787993494.7554,2.201803600111565e+37,30737879934.947556,3073787993494.7554
0.001,1570.7963267948965,1.0339169241510008e-12,3.234221319925241e-06,30737879934.947556,30737879934947.555,2.2018036001115654e+38,30737879934.947556,30737879934947.555
0.0001,15707.963267948964,1.0339169241510007e-11,3.2342213199252404e-05,30737879934.947556,307378799349475.56,2.2018036001115654e+39,30737879934.947556,307378799349475.56
1e-05,157079.63267948964,1.0339169241510008e-10,0.0003234221319925241,30737879934.947556,3073787993494755.5,2.201803600111565e+40,30737879934.947556,3073787993494755.5
1e-06,1570796.3267948967,1.033916924151001e-09,0.0032342213199252415,30737879934.947556,3.0737879934947556e+16,2.2018036001115654e+41,30737879934.947556,3.0737879934947556e+16
