index,d,d_over_r99,slow_driver,sign,gross_outward,gross_inward,cancellation,Splus_Kplus,Splus_Kminus,Sminus_Kplus,Sminus_Kminus,embedded_positive_fraction_gross_out,true_repulsive_fraction_gross_out,energy_ahead_fraction,abs_active_ahead_fraction,repulsive_DEC_p10,repulsive_DEC_p50,repulsive_DEC_p90,null_driver_min,null_driver_mean,null_driver_max,null_class,geometry_class
0,0.38701612745649,0.3006007719871826,0.13250191446741155,OUTWARD,1000.7527663055256,-1000.6202643910582,15104.483876637236,819.4182957025218,-969.588829500329,-31.031434890729198,181.33447060300372,0.8188019291993213,0.18119807080067873,0.2472407239870554,0.2462537083822672,0.33629701094779535,0.8096894761781889,0.9797696601095831,-169.54304401611958,-169.25921518383498,-168.9753863515507,ALL_INWARD,EMBEDDED_OR_TWO_SIDED
1,0.49379671638650124,0.3835387303522794,-330.04007436647544,INWARD,782.9292912304873,-1112.9693655969627,5.744449853450978,639.9706989271272,-1077.7660427217397,-35.20332287522278,142.9585923033599,0.8174054874372118,0.18259451256278797,0.182811212716577,0.1807460940096537,0.20427519289404764,0.7159398208401551,0.9795034264882153,-461.50526642568855,-460.4518759184226,-459.39848541115714,ALL_INWARD,EMBEDDED_OR_TWO_SIDED
2,0.6005773053165125,0.4664766887173763,-795.5852219865853,INWARD,502.3788297662826,-1297.964051752868,2.2629164441034666,395.6561280474866,-1275.9948351362189,-21.96921661664899,106.722701718796,0.7875652885921852,0.2124347114078149,0.1224873950743422,0.11547439794651125,0.22751907193624568,0.7599321807939382,0.9793114913636313,-850.4541674110886,-848.6965411298389,-846.9389148485914,ALL_INWARD,EMBEDDED_OR_TWO_SIDED
3,0.6425747055290836,0.4990966495658369,-975.9224787347046,INWARD,414.85598490162425,-1390.778463636329,1.8501822510318449,310.8160490816281,-1365.9651670348799,-24.813296601449274,104.0399358199962,0.7492143307401786,0.25078566925982143,0.10011846087962421,0.09077877340263667,0.24220503157015996,0.6900880480128913,0.9616019100987165,-1000.1864365827938,-997.8177236765177,-995.4490107702416,ALL_INWARD,EMBEDDED_OR_TWO_SIDED
4,0.7073578942465237,0.5494146470824731,-1258.0531924897255,INWARD,270.4424657271081,-1528.4956582168336,1.4299380460883284,187.38964355779632,-1501.9104524636004,-26.585205753233435,83.0528221693118,0.6929002183661614,0.3070997816338387,0.07317105497099208,0.062234506382374884,0.2415528552276141,0.7159397494573861,0.9792788359132221,-1225.2528841627502,-1224.575793325575,-1223.898702488398,ALL_INWARD,EMBEDDED_OR_TWO_SIDED
5,0.7609964817227962,0.591076478876504,-1407.7358865258352,INWARD,196.94843841906751,-1604.6843249449028,1.2798087912713776,109.28112643547331,-1577.8336220739156,-26.850702870986968,87.6673119835942,0.554871758886174,0.44512824111382604,0.05013158771010947,0.038027848531361826,0.2511842610684741,0.7318288401784958,0.9515667592827051,-1351.0343600349647,-1350.5565772097616,-1350.0787943845578,ALL_INWARD,EMBEDDED_OR_TWO_SIDED
6,0.814138483176535,0.63235260544757,-1514.7271447369812,INWARD,134.2008890968701,-1648.9280338338513,1.177194803121024,62.12002983225981,-1626.9226469277237,-22.00538690612749,72.0808592646103,0.46288836273968176,0.5371116372603183,0.03477210617633778,0.023331044690463203,0.23047097568123412,0.7159398208561139,0.9616019094342555,-1438.3159271214615,-1438.165226080208,-1438.0145250389533,ALL_INWARD,EMBEDDED_OR_TWO_SIDED
7,0.9209190721065463,0.7152905638126669,-1560.1920576583452,INWARD,72.19107784870582,-1632.3831355070513,1.0925412707933608,12.663609403284019,-1613.6468098075684,-18.736325699482627,59.5274684454218,0.17541792948186383,0.8245820705181363,0.014817392668708887,0.007048465946661393,0.2031269920554999,0.7141520973486095,0.9515667594974191,-1480.6335099122148,-1479.9771930780003,-1479.3208762437853,ALL_INWARD,EMBEDDED_OR_TWO_SIDED
8,0.9617600790249105,0.7470123380164417,-1527.4953445139008,INWARD,70.37647682444249,-1597.8718213383431,1.0921462406772031,5.36370982549677,-1577.4884308162125,-20.383390522130746,65.01276699894572,0.07621452603938673,0.9237854739606133,0.010017154167559425,0.003999973013541924,0.2004560659707078,0.6104875582632131,0.9511588719512444,-1456.4036796537564,-1455.723081306257,-1455.0424829587553,ALL_INWARD,EMBEDDED_OR_TWO_SIDED
9,1.0276996610365576,0.7982285221777639,-1450.0545302747869,INWARD,59.079813060357864,-1509.1343433351449,1.0814863328610989,1.0100157059925639,-1495.3877126396844,-13.746630695460258,58.069797354365285,0.017095783714831645,0.9829042162851681,0.005748790553821062,0.001876490593327928,0.2002802070705691,0.5923185154043856,0.9511263566274707,-1391.427770617094,-1390.679382909882,-1389.9309952026701,ALL_INWARD,EFFECTIVE_99_ENERGY_BEHIND
