gain_times_planck,lambda3_ev,lambda_eff_ev,lambda_eff_over_k,local_control_pass,source_k_ev,y,z_min
1e-05,1.8418077054589445e-06,1.8418077052747637e-06,0.9015616337196427,False,2.042908256505853e-06,1.9999999996000003e-10,0.9999999998
0.0001,8.548914107531627e-07,8.548914022042487e-07,0.41846783842679103,False,2.042908256505853e-06,1.9999999600000007e-08,0.9999999800000005
0.001,3.9680557355602096e-07,3.968051767510426e-07,0.19423543641148613,False,2.042908256505853e-06,1.9999960000079996e-06,0.999998000004
0.01,1.8418690938722235e-07,1.841684934586269e-07,0.0901501537683463,False,2.042908256505853e-06,0.00019996000799840034,0.9998000399920016
0.1,8.577175851375286e-08,8.492669594918104e-08,0.04157146836071721,False,2.042908256505853e-06,0.019607843137254905,0.9803921568627451
1.0,4.765383184572615e-08,2.7512952644047157e-08,0.013467541949781302,False,2.042908256505853e-06,0.6666666666666666,0.33333333333333337
10.0,4.457694433738873e-08,3.1442152256749838e-09,0.0015390878252422274,False,2.042908256505853e-06,0.9950248756218906,0.00497512437810943
1000.0,4.4539908552462084e-08,3.149446349875696e-11,1.541648451341835e-05,False,2.042908256505853e-06,0.99999950000025,4.999997500476638e-07
