Gamma,k_opt_exact,b_opt_exact,lambda_min,lambda_max,condition_number,condition_over_4Gamma,tuning_digits,k_opt_numeric,condition_numeric,k_error,condition_relerr
1.1220184543019633,1.0,0.3297712265590411,0.6702287734409589,1.3297712265590411,1.9840557123980025,0.4420728787460842,0.04999999999999996,0.9999999999996685,1.9840557123980023,3.3151259515307174e-13,1.1191450095756638e-16
1.9923929668366303,1.0,0.7057556097706071,0.2942443902293928,1.7057556097706073,5.797070960098171,0.727400550065974,0.299375,0.9999999887785408,5.79707096009817,1.1221459206289808e-08,3.064231663933554e-16
3.537936224738548,1.0,0.8469647823449468,0.1530352176550532,1.8469647823449469,12.068887218549072,0.8528197268056293,0.54875,0.9999999951285548,12.068887218549065,4.871445247189854e-09,5.887392291379138e-16
6.282391545574856,1.0,0.9169650746628322,0.08303492533716783,1.9169650746628322,23.0862503564481,0.9186887743692695,0.798125,0.999999997803685,23.086250356448087,2.196315018743178e-09,6.155549080421734e-16
11.15578151350852,1.0,0.9541280739004617,0.04587192609953826,1.9541280739004616,42.59965168369356,0.954654132301482,1.0474999999999999,0.9999999611461236,42.599651683693565,3.885387644952942e-08,1.6679543321995852e-16
19.809567785503386,1.0,0.9744328313605435,0.025567168639456562,1.9744328313605435,77.22532202152013,0.9745962513886031,1.296875,0.9999999498702584,77.22532202152013,5.0129741580029474e-08,0.0
35.17628732449393,1.0,0.9856833965569056,0.014316603443094352,1.9856833965569056,138.69793938552547,0.9857346378404425,1.54625,0.9999999999842074,138.6979393855254,1.5792589458385464e-11,6.147541100391453e-16
62.46331082704687,1.0,0.9919630043781263,0.00803699562187368,1.9919630043781265,247.8492085968981,0.991979152702783,1.795625,0.9999999537562461,247.84920859689805,4.6243753937247334e-08,2.293467838069967e-16
110.9174815262401,1.0,0.9954819378692615,0.004518062130738391,1.9954819378692616,441.6676619591192,0.9954870410906158,2.045,0.9999999666153545,441.6676619591191,3.338464549251796e-08,2.574035808221316e-16
196.95862331390688,1.0,0.9974581652790824,0.0025418347209175867,1.9974581652790824,785.8332207209808,0.9974597805100196,2.2943749999999996,0.9999999537455333,785.8332207209809,4.625446670125655e-08,1.446704398896644e-16
349.7437803664177,1.0,0.9985693586435193,0.0014306413564806905,1.9985693586435191,1396.9744056329423,0.9985698703271918,2.5437499999999997,0.999999953824739,1396.9744056329428,4.6175260948189134e-08,3.2552303682358935e-16
621.0477604224611,1.0,0.9991945845926068,0.000805415407393155,1.999194584592607,2482.190638819902,0.9991947467661014,2.793125,0.9999999536948839,2482.190638819902,4.630511607484067e-08,0.0
1102.8082338495508,1.0,0.999546509190751,0.0004534908092489896,1.999546509190751,4409.232708601373,0.9995465606042294,3.0424999999999995,0.9999999999988255,4409.232708601376,1.1745049377509531e-12,6.18811545146201e-16
1958.2809538175761,1.0,0.9997446414178606,0.0002553585821394655,1.9997446414178606,7831.12368757471,0.999744657719862,3.2918749999999997,0.9999999999988237,7831.123687574711,1.1762812945903534e-12,1.1613846723120748e-16
3477.362769317011,1.0,0.9998562025347589,0.0001437974652409999,1.999856202534759,13907.45100536414,0.9998562077041867,3.54125,0.9999999957150283,13907.451005364128,4.284971710788454e-09,9.155470560284464e-16
6174.829922059537,1.0,0.9999190228311673,8.097716883271313e-05,1.9999190228311674,24697.319647747932,0.9999190244704931,3.7906249999999995,0.9999999999988255,24697.31964774793,1.1745049377509531e-12,1.4730257610863647e-16
10964.78196143185,1.0,0.99995439841828,4.5601581719923174e-05,1.99995439841828,43857.12782292608,0.9999543989381559,4.04,0.9999999999988255,43857.12782292611,1.1745049377509531e-12,6.636054821975786e-16
19470.4056596333,1.0,0.9999743196711509,2.5680328849094214e-05,1.9999743196711508,77879.62262569286,0.9999743198360207,4.289375,0.9999999999988255,77879.62262569288,1.1745049377509531e-12,1.8685138342678748e-16
34574.029641823865,1.0,0.9999855381735753,1.4461826424707521e-05,1.9999855381735752,138294.11856006447,0.9999855382258612,4.538749999999999,0.9999999999988237,138294.11856006455,1.1762812945903534e-12,6.313463817499919e-16
61393.86854953852,1.0,0.9999918558310812,8.14416891887291e-06,1.9999918558310812,245573.474194082,0.999991855847663,4.788125,0.9999999999988255,245573.47419408188,1.1745049377509531e-12,4.740549532435628e-16
109018.44923851268,1.0,0.9999954136098056,4.586390194436409e-06,1.9999954136098057,436071.7969517576,0.9999954136150646,5.0375,0.9999999999988237,436071.7969517577,1.1762812945903534e-12,1.3348182872717835e-16
193586.46971041054,1.0,0.9999974171715282,2.582828471720734e-06,1.9999974171715282,774343.8788403507,0.9999974171731959,5.286874999999999,0.9999999999988237,774343.878840351,1.1762812945903534e-12,4.510217940946748e-16
