A_mass,M_eff,S,absolute_mixed_integral,absolute_u_term,absolute_y_term,activation_translation_norm,b_norm,boundary_term,cancellation_fraction,common_coupling,common_norm,common_relative_inner,d,delta_E_interaction,family,h_relative_norm,k_block,k_direct_corrected,k_direct_truncated,k_fd,k_from_cross,k_mixed,lambda_from_cross,lambda_relative_collective,max_abs_c_ua,max_abs_c_xa,mixed_block_absdiff,mixed_direct_absdiff,order,rayleigh_cross_relerr,relative_norm,relative_rayleigh,rmax,scan,schur_correction_at_certified_gap,source_translation_norm
12.042954996239757,11.491244927428905,250.83563511913937,1.494102963437198e-19,1.6201733469812334e-20,1.611694096187164e-19,3.470296096335262,,0.0,0.9996741631505186,,,,,,DERIVATIVE,,1.493616129634791e-19,1.493616131340695e-19,1.493616131340695e-19,,,1.4936161296347909e-19,,1.2997861755340535e-20,,,2.407412430484045e-35,1.7059042445619035e-28,32,,,,500.0,DERIVATIVE_QUADRATURE,,15.83779135861877
12.0429549962505,11.491244927369234,250.83563508604794,1.4941030502790548e-19,1.6199753841092828e-20,1.6116940961939597e-19,3.47029609633681,,0.0,0.9996741050609048,,,,,,DERIVATIVE,,1.4936161296564824e-19,1.4936161313265338e-19,1.4936161313265338e-19,,,1.4936161296564821e-19,,1.2997861755596794e-20,,,2.407412430484045e-35,1.6700516141996768e-28,48,,,,500.0,DERIVATIVE_QUADRATURE,,15.837791357574071
12.042954996239505,11.491244927568678,250.83563518584907,1.4941025625590462e-19,1.6199529742385855e-20,1.6116940963149143e-19,3.4702960963352254,,0.0,0.9996744314521687,,,,,,DERIVATIVE,,1.493616129757443e-19,1.4936161307275524e-19,1.4936161307275524e-19,,,1.4936161297574428e-19,,1.2997861756249788e-20,,,2.407412430484045e-35,9.701096908048085e-29,64,,,,500.0,DERIVATIVE_QUADRATURE,,15.837791360724799
12.042954996248843,11.4912449273901,250.83563509670893,1.4941028497282498e-19,1.619986429844394e-20,1.6116940949831833e-19,3.470296096336571,,0.0,0.9996742384165747,,,,,,DERIVATIVE,,1.493616128418122e-19,1.4936161305384208e-19,1.4936161305384208e-19,,,1.493616128418122e-19,,1.2997861744796636e-20,,,0.0,2.1202988869759275e-28,80,,,,500.0,DERIVATIVE_QUADRATURE,,15.837791357910639
12.042934942598517,11.491096907432166,250.7738206801635,1.4941028497282498e-19,1.619986429844394e-20,1.6116940949831833e-19,3.4702932070069408,,1.831777001975696e-205,0.9996742384165747,,,,,,DERIVATIVE,,1.493616128418122e-19,1.4936161305384208e-19,1.4936161305384208e-19,,,1.493616128418122e-19,,1.2998029173803998e-20,,,0.0,2.1202988869759275e-28,80,,,,250.0,DERIVATIVE_DOMAIN,,15.835839752920068
12.042954994877597,11.491230200696046,250.8286189096344,1.4941028497282498e-19,1.619986429844394e-20,1.6116940949831833e-19,3.470296096139002,,9.31263914593574e-293,0.9996742384165747,,,,,,DERIVATIVE,,1.493616128418122e-19,1.4936161305384208e-19,1.4936161305384208e-19,,,1.493616128418122e-19,,1.2997878402328506e-20,,,0.0,2.1202988869759275e-28,80,,,,350.0,DERIVATIVE_DOMAIN,,15.837569854925167
12.04295499624875,11.491243694038664,250.8350474312706,1.4941028497282498e-19,1.619986429844394e-20,1.6116940949831833e-19,3.4702960963365577,,0.0,0.9996742384165747,,,,,,DERIVATIVE,,1.493616128418122e-19,1.4936161305384208e-19,1.4936161305384208e-19,,,1.493616128418122e-19,,1.2997863139852897e-20,,,0.0,2.1202988869759275e-28,80,,,,450.0,DERIVATIVE_DOMAIN,,15.837772805267495
12.042954996248843,11.4912449273901,250.83563509670893,1.4941028497282498e-19,1.619986429844394e-20,1.6116940949831833e-19,3.470296096336571,,0.0,0.9996742384165747,,,,,,DERIVATIVE,,1.493616128418122e-19,1.4936161305384208e-19,1.4936161305384208e-19,,,1.493616128418122e-19,,1.2997861744796636e-20,,,0.0,2.1202988869759275e-28,80,,,,500.0,DERIVATIVE_DOMAIN,,15.837791357910639
12.042954996239757,11.491244927428905,250.83563511913937,,,,,3.2406930140783e-18,,,-1.5419785526620325e-37,1.0,2.8324781756183803e-18,,,SCHUR,3.240719080066353e-18,,,,,1.493616129634791e-19,,1.2997861755340537e-20,,1.024539954975481e-18,1.6205607397248228e-18,,,32,2.315200449695977e-16,1.0000000000000002,1.299786175534054e-20,500.0,SCHUR_QUADRATURE,1.0502091211495897e-30,
12.042954996250502,11.491244927369236,250.83563508604794,,,,,3.240693013032565e-18,,,-1.930435617880269e-38,1.0000000000000002,1.666960840196463e-18,,,SCHUR,3.240719079020627e-18,,,,,1.4936161296564824e-19,,1.2997861755596794e-20,,1.0245400014910634e-18,1.6221382975640141e-18,,,48,1.1576002248251663e-16,0.9999999999999998,1.2997861755596792e-20,500.0,SCHUR_QUADRATURE,1.0502091204718084e-30,
12.042954996239505,11.491244927568678,250.83563518584907,,,,,3.240693014520413e-18,,,-5.950583767754319e-38,0.9999999999999998,1.3688052427629493e-18,,,SCHUR,3.2407190805084658e-18,,,,,1.493616129757443e-19,,1.2997861756249789e-20,,1.0245400160405907e-18,1.6220033011654818e-18,,,64,1.15760022476701e-16,0.9999999999999999,1.2997861756249788e-20,500.0,SCHUR_QUADRATURE,1.05020912143614e-30,
12.042954996248843,11.491244927390103,250.83563509670896,,,,,3.2406930119865103e-18,,,6.487339874942826e-38,1.0,-1.7198156961051314e-17,,,SCHUR,3.240719077974538e-18,,,,,1.493616128418122e-19,,1.2997861744796634e-20,,1.0245400219405238e-18,1.6220977828739362e-18,,,80,2.3152004515740744e-16,1.0000000000000002,1.2997861744796637e-20,500.0,SCHUR_QUADRATURE,1.05020911979382e-30,
12.042934942598517,11.491096907432166,250.7738206801635,,,,,3.240713883709454e-18,,,4.651168541166165e-38,1.0,-2.371692252312041e-18,,,SCHUR,3.2407399502011286e-18,,,,,1.493616128418122e-19,,1.2998029173803998e-20,,1.0245400219405238e-18,1.6220977828739362e-18,,,80,2.315170629228835e-16,1.0,1.2998029173804001e-20,250.0,SCHUR_DOMAIN,1.0502226476067212e-30,
12.042954994877597,11.491230200696046,250.8286189096344,,,,,3.2406950885227327e-18,,,4.444650222666824e-38,0.9999999999999999,1.5151725360484924e-17,,,SCHUR,3.2407211545608675e-18,,,,,1.493616128418122e-19,,1.2997878402328506e-20,,1.0245400219405238e-18,1.6220977828739362e-18,,,80,1.1575987422554902e-16,0.9999999999999999,1.2997878402328507e-20,350.0,SCHUR_DOMAIN,1.050210465677536e-30,
12.04295499624875,11.491243694038664,250.8350474312706,,,,,3.2406931858949706e-18,,,6.125794895710569e-38,0.9999999999999999,-3.9302328752599536e-18,,,SCHUR,3.2407192518871944e-18,,,,,1.493616128418122e-19,,1.2997863139852897e-20,,1.0245400219405238e-18,1.6220977828739362e-18,,,80,1.1576001015421958e-16,0.9999999999999999,1.2997863139852899e-20,450.0,SCHUR_DOMAIN,1.0502092325106094e-30,
12.042954996248843,11.491244927390103,250.83563509670896,,,,,3.2406930119865103e-18,,,6.487339874942826e-38,1.0,-1.7198156961051314e-17,,,SCHUR,3.240719077974538e-18,,,,,1.493616128418122e-19,,1.2997861744796634e-20,,1.0245400219405238e-18,1.6220977828739362e-18,,,80,2.3152004515740744e-16,1.0000000000000002,1.2997861744796637e-20,500.0,SCHUR_DOMAIN,1.05020911979382e-30,
,,,,,,,,,,,,,0.125,4.888226944794588e-21,FINITE_DISPLACEMENT_SAFE,,,,,1.4937321239405801e-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.25,1.9557463716959744e-20,FINITE_DISPLACEMENT_SAFE,,,,,1.4940801719493774e-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.375,4.4021384966109075e-20,FINITE_DISPLACEMENT_SAFE,,,,,1.494660484076268e-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.5,7.830280452365349e-20,FINITE_DISPLACEMENT_SAFE,,,,,1.495473407747745e-19,,,,,,,,,,,,,,,,
