portal_scale_ev,lane,basis_label,coefficient
12000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_03_RHO_0.55_Z_-0.25,0.0
12000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_04_RHO_0.80_Z_-0.25,1.4803037781049422e-17
12000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_05_RHO_0.25_Z_+0.15,1.4803037781049422e-17
12000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_06_RHO_0.55_Z_+0.15,0.0
12000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_07_RHO_0.80_Z_+0.15,1.4803037781049422e-17
12000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_08_RHO_0.25_Z_+0.55,3.456810188403535e-17
12000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_09_RHO_0.55_Z_+0.55,1.240526305723987e-16
12000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_10_RHO_0.75_Z_+0.55,0.0
12000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_11_RHO_0.25_Z_+0.78,5.244445911111361e-17
12000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_12_RHO_0.88_Z_+0.00,0.0
12000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_13_RHO_0.60_Z_+0.00,1.4803037781074666e-17
8000.0,SIGNED_MULTIPOLAR,A12C_ORIGINAL,0.542655000369168
8000.0,SIGNED_MULTIPOLAR,PATCH_00_RHO_0.25_Z_-0.65,-0.3167936992329993
8000.0,SIGNED_MULTIPOLAR,PATCH_01_RHO_0.55_Z_-0.65,-0.403282983769699
8000.0,SIGNED_MULTIPOLAR,PATCH_02_RHO_0.25_Z_-0.25,-0.3515492904779329
8000.0,SIGNED_MULTIPOLAR,PATCH_03_RHO_0.55_Z_-0.25,0.3518827939476799
8000.0,SIGNED_MULTIPOLAR,PATCH_04_RHO_0.80_Z_-0.25,-0.4425005413818592
8000.0,SIGNED_MULTIPOLAR,PATCH_05_RHO_0.25_Z_+0.15,-0.4329170187066183
8000.0,SIGNED_MULTIPOLAR,PATCH_06_RHO_0.55_Z_+0.15,0.8151430467583506
8000.0,SIGNED_MULTIPOLAR,PATCH_07_RHO_0.80_Z_+0.15,-0.41032787111264934
8000.0,SIGNED_MULTIPOLAR,PATCH_08_RHO_0.25_Z_+0.55,-0.4720886536296847
8000.0,SIGNED_MULTIPOLAR,PATCH_09_RHO_0.55_Z_+0.55,-0.4287687393471022
8000.0,SIGNED_MULTIPOLAR,PATCH_10_RHO_0.75_Z_+0.55,-0.5523065742715068
8000.0,SIGNED_MULTIPOLAR,PATCH_11_RHO_0.25_Z_+0.78,0.6158933101918572
8000.0,SIGNED_MULTIPOLAR,PATCH_12_RHO_0.88_Z_+0.00,0.4757012598720348
8000.0,SIGNED_MULTIPOLAR,PATCH_13_RHO_0.60_Z_+0.00,-1.0
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,A12C_ORIGINAL,0.0
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_00_RHO_0.25_Z_-0.65,1.0
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_01_RHO_0.55_Z_-0.65,2.0354088784800294e-16
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_02_RHO_0.25_Z_-0.25,3.407830416314269e-17
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_03_RHO_0.55_Z_-0.25,0.0
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_04_RHO_0.80_Z_-0.25,4.4946818134099266e-17
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_05_RHO_0.25_Z_+0.15,0.0
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_06_RHO_0.55_Z_+0.15,3.700743415417897e-17
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_07_RHO_0.80_Z_+0.15,3.7007434154204214e-17
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_08_RHO_0.25_Z_+0.55,0.0
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_09_RHO_0.55_Z_+0.55,0.0
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_10_RHO_0.75_Z_+0.55,0.0
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_11_RHO_0.25_Z_+0.78,0.0
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_12_RHO_0.88_Z_+0.00,9.251858538544943e-17
8000.0,NONNEGATIVE_SAME_CURRENT_DIRECTION,PATCH_13_RHO_0.60_Z_+0.00,0.0
5000.0,SIGNED_MULTIPOLAR,A12C_ORIGINAL,0.9884666766334269
5000.0,SIGNED_MULTIPOLAR,PATCH_00_RHO_0.25_Z_-0.65,-0.6539096929586697
5000.0,SIGNED_MULTIPOLAR,PATCH_01_RHO_0.55_Z_-0.65,-0.676808341781906
5000.0,SIGNED_MULTIPOLAR,PATCH_02_RHO_0.25_Z_-0.25,-0.42696409550730513
5000.0,SIGNED_MULTIPOLAR,PATCH_03_RHO_0.55_Z_-0.25,0.32981210248535625
5000.0,SIGNED_MULTIPOLAR,PATCH_04_RHO_0.80_Z_-0.25,-0.8274751558985814
5000.0,SIGNED_MULTIPOLAR,PATCH_05_RHO_0.25_Z_+0.15,-1.0
5000.0,SIGNED_MULTIPOLAR,PATCH_06_RHO_0.55_Z_+0.15,0.9227362863315511
5000.0,SIGNED_MULTIPOLAR,PATCH_07_RHO_0.80_Z_+0.15,-0.7958835393317281
5000.0,SIGNED_MULTIPOLAR,PATCH_08_RHO_0.25_Z_+0.55,-0.4058035580722787
5000.0,SIGNED_MULTIPOLAR,PATCH_09_RHO_0.55_Z_+0.55,-0.26094505248327043
5000.0,SIGNED_MULTIPOLAR,PATCH_10_RHO_0.75_Z_+0.55,-0.9076512901250331
5000.0,SIGNED_MULTIPOLAR,PATCH_11_RHO_0.25_Z_+0.78,-0.2771960484613947
