sample_index,energy_j,radius_m,thickness_m,gap_m,kappa,rho_active_kg_m3,active_mass_abs_kg,active_energy_abs_j,lever_m
9356744,131507613.39541511,0.5213694936901974,0.5408061082799266,0.0005761727920602244,9.989101396261368,121118255422.08437,55936115058.35419,5.027287308711431e+27,0.19307474810313874
410952,131792007.34668414,0.46649886296549176,0.5801486952523998,0.00010436766332956863,9.992216620349314,130876078856.92545,51909954281.12598,4.665434023815341e+27,0.17867953304037365
1780488,131951777.35527463,0.5496176174502941,0.6059134041704175,0.000734018795048356,9.995143615538936,108793984542.59378,62558540226.2615,5.622481200256804e+27,0.2149464122913448
8211304,132133602.51710682,0.45021670095796046,0.5617753606791723,0.000428506657580836,9.99933110424669,138085726615.4452,49397452474.19499,4.439621622758857e+27,0.16935042621338464
4792520,132160680.43003093,0.5155362673143897,0.5487624880472229,0.0009865179708921227,9.970242883610535,121668901638.03912,55748389050.25638,5.010415336515282e+27,0.19220093500868263
8843208,132731723.46603487,0.5393511679792005,0.5530883430405068,0.0001405065747899776,9.944545027252644,115791733672.2686,58528201837.66994,5.260252450375958e+27,0.20195635659535072
4262600,132741543.97381496,0.4985156961904446,0.5365419698736961,0.00019451850766611775,9.925228468262395,126951373976.90819,53180039017.73472,4.77958354726151e+27,0.18420341524278538
945992,132913861.65777412,0.4612057121830876,0.5184873678440121,0.0008185182952785752,9.946947408759941,139986237088.2112,48502346210.60881,4.359173483767073e+27,0.16705125548574296
2561224,132976123.08124532,0.5104419194442219,0.4359480066102621,0.00015941135895041915,9.996960876329423,138664500653.26498,49481462470.615036,4.447172064693675e+27,0.16864357168663657
6666184,133029786.2436775,0.5407282321269911,0.48512916827149316,0.00036483819444489506,9.982409666174494,123929941261.90942,55225746406.088196,4.963442558207796e+27,0.18869432534378222
5364840,133328270.6460975,0.4315026275268205,0.47422451777203184,0.0008385320295177278,9.96382001557349,156958810172.4553,43539803363.008194,3.913162375368632e+27,0.1489873466205363
6036200,133420660.009881,0.4114493023657187,0.4255958436932087,0.0002727915745766571,9.988970856789152,174257474836.5538,39443126071.49967,3.5449713822329516e+27,0.13419726573132423
8968776,133552448.8417508,0.4900990503691951,0.49102752434427005,0.0003726918210768576,9.907782918014105,135157384261.75485,50079871965.27926,4.50095442792715e+27,0.17301960069767136
7183816,133560170.7381905,0.522697957103659,0.5940245443716209,0.001467412030132272,9.93719302481842,115564210924.88045,58922236955.15768,5.295666560620585e+27,0.20235396814599715
6844744,133572868.65967403,0.47123712069314566,0.4162535603882789,0.0006270290238734578,9.973905511142258,153702187718.67065,44634109082.729385,4.0115136686407064e+27,0.15214407161928722
9214728,133654393.32715382,0.5511777960589924,0.7024266066339644,0.0005453295064051652,9.97582792693456,101209790410.19737,67851082293.48339,6.098151159416618e+27,0.23105350343611042
5525128,133713718.41421625,0.5987273672473435,0.6289992058205691,0.00021646599364744055,9.972227251121462,98446467876.78142,69736207981.66531,6.26757780689895e+27,0.23753901141054423
1277800,133981307.88463113,0.445690987287756,0.4459816049125217,0.002078298771919815,9.967175890347729,157136129320.5005,43733131267.511665,3.9305378209053153e+27,0.14881922290839888
2806344,134080652.32514638,0.4867039457579721,0.4683725922903529,0.002741799841811084,9.9604102909441,140369847731.5329,48926585630.57142,4.3973022213386425e+27,0.16659472838522815
1245448,134147392.22789982,0.555938755722357,0.4948721943391689,0.00011643153940126166,9.950718755990188,119466527188.88376,57404120302.22317,5.159225040245437e+27,0.19574417375787329
3652616,134174021.23420735,0.579629273748468,0.5349124393495744,0.00039581386290479413,9.962436454740313,110352523702.04985,62303932888.25763,5.599598233899268e+27,0.21191066476603082
