switch_s,rabi_energy_eV,carrier_Hz,gate_field_energy_J,stabilizer_barrier_J,transient_control_overhead_J,endpoint_work_J,endpoint_average_power_W,unrecovered_control_average_power_W,fundamental_S_radiation_closed
10.0,1.0339169241510008e-16,210687758.6577416,0.7940900092209517,86.57514767187838,87.36923768109934,30737879934.947556,3073787993.4947557,8.736923768109934,True
1.0,1.0339169241510009e-15,210687758.6577416,79.40900092209519,86.57514767187838,165.98414859397357,30737879934.947556,30737879934.947556,165.98414859397357,True
0.1,1.0339169241510009e-14,210687758.6577416,7940.900092209517,86.57514767187838,8027.475239881396,30737879934.947556,307378799349.4755,80274.75239881396,True
0.01,1.0339169241510009e-13,210687758.6577416,794090.0092209517,86.57514767187838,794176.5843686236,30737879934.947556,3073787993494.7554,79417658.43686235,True
0.001,1.0339169241510008e-12,210687758.6577416,79409000.92209518,86.57514767187838,79409087.49724285,30737879934.947556,30737879934947.555,79409087497.24286,True
0.0001,1.0339169241510009e-11,210687758.6577416,7940900092.209518,86.57514767187838,7940900178.784666,30737879934.947556,307378799349475.56,79409001787846.66,True
1e-05,1.0339169241510008e-10,210687758.6577416,794090009220.9518,86.57514767187838,794090009307.527,30737879934.947556,3073787993494755.5,7.940900093075269e+16,True
1e-06,1.033916924151001e-09,210687758.6577416,79409000922095.22,86.57514767187838,79409000922181.8,30737879934.947556,3.0737879934947556e+16,7.94090009221818e+19,True
