label,portal_scale_ev,maximum_local_epsilon_load_lower_bound,global_loading_le_1_not_ruled_out,global_loading_le_0p1_not_ruled_out,global_loading_le_0p01_not_ruled_out,unloaded_reference_field_energy_j,unloaded_reference_integrated_source_ev_m,optimistic_pauli_electron_rest_floor_j,pauli_partial_total_j,pauli_partial_strict_sub10mj,loaded_solution_computed,complete_energy_certified
PAULI_CHARACTERISTIC_Q,9.86634902e-08,1.152138761626813e+44,False,False,False,2.517644626426857e-40,1.9920654217242124e-13,6111522.111916972,6111522.111916972,True,False,False
PAULI_PARTIAL_10MJ_BOUNDARY,1.2620651681478093e-07,4.30331921524114e+43,False,False,False,6.740554946131965e-40,3.259524199118655e-13,10000000.0,10000000.0,False,False,False
A12C_REFERENCE_1KEV,1000.0,10917.688168666373,False,False,False,2.6568591420597114,20464005.700253956,6.27821867553161e+26,6.27821867553161e+26,False,False,False
NECESSARY_ORDER_ONE_LOADING_SCALE,10221.924560220372,1.0,True,False,False,29006.759621078385,2138237742.0590758,6.559968913982093e+28,6.559968913982093e+28,False,False,False
NECESSARY_TEN_PERCENT_LOADING_SCALE,18177.437976411056,0.10000000000000005,True,False,False,290067.5962107838,6761701443.842293,2.0744443148084597e+29,2.0744443148084597e+29,False,False,False
NECESSARY_ONE_PERCENT_LOADING_SCALE,32324.563680711366,0.010000000000000002,True,True,False,2900675.9621078386,21382377420.590755,6.559968913982092e+29,6.559968913982092e+29,False,False,False
UNLOADED_FIELD_ONLY_10MJ_BOUNDARY,44046.14127845582,0.002900675962107841,True,True,True,9999999.999999996,39701451317.82915,1.2180137005445165e+30,1.2180137005445165e+30,False,False,False
