A,A_point,C,C_point,D,baseline_active,beats_006D,beats_024D_scalar,beta_orbit,beta_spin,curvature_concentration,curvature_norm,d_point,f,family,gap,guide_orbit_factor,guide_spin_factor,index,interaction_duty,interaction_kernel,inventory,k_avg,k_max,k_min,major,min_payload_distance,minor,minor_ratio,mobile_active_ratio,mobile_energy,mode,nphase,overhead,overhead_active_ratio,p,payload_clear,phase,q_scalar,q_winding,reset_capacity,reset_duty,reset_kernel,spin_fraction,winding_index
0.3066750526449181,1.3114638460337367,11.713980069423588,2.7392180618142548,10.423633940203816,3.5923854544719998,True,False,0.026597606817260387,0.009975976919755339,1.0000000000000002,1.0,0.5057066792219566,0.9903056407347322,SPIN_AUDIT_UNRESTRICTED,0.036456252448260784,1.0,1.0,3912,0.5057066792219566,0.21498074906087528,3.5923854544720006,0.13938635954730777,0.3964977400426364,0.05271321596047185,1.4668239646912895,1.4774595378629272,1.1826026986755216,0.8062335543613881,1.0002687881354013,3.5914201233536005,CONTIGUOUS,8192,0.0,0.0,0,True,5.264549842683783,1.9305143672972918,1,10.773295038942402,0.48929332077804355,0.06181087003712712,2.5914201233536005,1
0.09383413608916821,0.3997639290298295,11.681147097576858,2.7418440405358115,3.186316935443069,1.0960903464316192,True,False,0.05195547345001251,0.05870516199152917,1.0000000000000002,1.0,0.5044186968524217,0.9937743423506618,SPIN_AUDIT_UNRESTRICTED,0.036456252448260784,1.0,1.0,3912,0.5044186968524217,0.2153108606693372,1.0960903464316192,0.13938635954730777,0.3964977400426364,0.05271321596047185,1.4668239646912895,1.4774595378629272,1.1826026986755216,0.8062335543613881,1.0027629686569328,1.0930702276527882,CONTIGUOUS,8192,0.0,0.0,0,True,5.264549842683783,1.9305143672972918,1,3.276190564179533,0.4905813031475782,0.06187110605556047,0.09307022765278816,1
0.19076294880255,0.8112391755774513,11.662975943894653,2.7425496078722515,6.473746533014117,2.2248636828705477,True,False,0.08837528730463236,0.021389028724282978,1.0000000000000002,1.0,0.5038493084550435,0.9953725254163146,SPIN_AUDIT_UNRESTRICTED,0.036456252448260784,1.0,1.0,3912,0.5038493084550435,0.21545713430239946,2.2248636828705477,0.13938635954730777,0.3964977400426364,0.05271321596047185,1.4668239646912895,1.4774595378629272,1.1826026986755216,0.8062335543613881,1.0037747524290683,2.216496955603361,CONTIGUOUS,8192,0.0,0.0,0,True,5.264549842683783,1.9305143672972918,1,6.641124139542897,0.49115069154495655,0.0618978367014171,1.2164969556033611,1
0.2037883353488782,0.8650057131154179,11.649373145141203,2.744497897656645,6.913773015921429,2.374006361106251,True,False,0.03897804775927216,0.08922093441244215,1.0000000000000002,1.0,0.5031490025327422,0.9971977677196264,SPIN_AUDIT_UNRESTRICTED,0.036456252448260784,1.0,1.0,3912,0.5031490025327422,0.21563732134453859,2.374006361106251,0.13938635954730777,0.3964977400426364,0.05271321596047185,1.4668239646912895,1.4774595378629272,1.1826026986755216,0.8062335543613881,1.00523300537175,2.3616478452458978,CONTIGUOUS,8192,0.0,0.0,0,True,5.264549842683783,1.9305143672972918,1,7.07258501987734,0.4918509974672579,0.06193079426626068,1.3616478452458978,1
0.32652693453476733,1.3897133904270462,11.741066238546965,2.75867987849229,11.135544695754193,3.833774367042392,True,False,0.17926146046351643,0.02376765397377312,1.0000000000000002,1.0,0.5026052819627337,0.9969295784831047,SPIN_AUDIT_UNRESTRICTED,0.036456252448260784,1.0,1.0,3912,0.5026052819627337,0.21577743752990358,3.833774367042392,0.13938635954730777,0.3964977400426364,0.05271321596047185,1.4668239646912895,1.4774595378629272,1.1826026986755216,0.8062335543613881,1.0088726088727125,3.8000579392537475,CONTIGUOUS,8192,0.0,0.0,0,True,5.264549842683783,1.9305143672972918,1,11.366457389972599,0.4923947180372663,0.061956448326371885,2.8000579392537475,1
0.27259956267529134,1.1714208630441967,11.855761514689586,2.758936182584444,9.337631984767501,3.2318754040869306,True,False,0.11380232873931527,0.035097285968251526,1.0000000000000002,1.0,0.505243434650027,0.9890736760571599,SPIN_AUDIT_UNRESTRICTED,0.036456252448260784,1.0,1.0,3912,0.505243434650027,0.2150993609626182,3.2318754040869306,0.13938635954730777,0.3964977400426364,0.05271321596047185,1.4668239646912895,1.4774595378629272,1.1826026986755216,0.8062335543613881,1.004875613602328,3.2161944825202227,CONTIGUOUS,8192,0.0,0.0,0,True,5.264549842683783,1.9305143672972918,1,9.63290252599396,0.489756565349973,0.061832500192270885,2.2161944825202227,1
0.10655407231650878,0.4521613800536934,11.7255151862873,2.7631758222243894,3.633593731985872,1.2494013931079788,True,False,0.10690833143051713,0.11190333630144596,1.0000000000000002,1.0,0.5013798763414511,0.9999866057187319,SPIN_AUDIT_UNRESTRICTED,0.036456252448260784,1.0,1.0,3912,0.5013798763414511,0.21609391488983593,1.2494013931079788,0.13938635954730777,0.3964977400426364,0.05271321596047185,1.4668239646912895,1.4774595378629272,1.1826026986755216,0.8062335543613881,1.011637385191474,1.2350288862362504,CONTIGUOUS,8192,0.0,0.0,0,True,5.264549842683783,1.9305143672972918,1,3.6907141518370232,0.49362012365854907,0.06201447491161481,0.2350288862362504,1
0.10052067734704566,0.4391190541838963,12.096154830022959,2.7689840949134488,3.479141946354815,1.2159136768086458,True,False,0.03730047637596726,0.03161378110013902,1.0000000000000002,1.0,0.5088311591273823,0.9772450542077422,SPIN_AUDIT_UNRESTRICTED,0.036456252448260784,1.0,1.0,3912,0.5088311591273823,0.21418431483083217,1.2159136768086458,0.13938635954730777,0.3964977400426364,0.05271321596047185,1.4668239646912895,1.4774595378629272,1.1826026986755216,0.8062335543613881,1.0013221617387686,1.2143081650137901,CONTIGUOUS,8192,0.0,0.0,0,True,5.264549842683783,1.9305143672972918,1,3.641318983246515,0.48616884087261786,0.06166604426415347,0.21430816501379013,1
0.2765608957156213,1.2106370814736618,12.128106867573374,2.7705743942255436,9.58557646625768,3.35416009863087,True,False,0.046805606464855376,0.021900997909717262,1.0000000000000002,1.0,0.5092473223534841,0.9758290173485875,SPIN_AUDIT_UNRESTRICTED,0.036456252448260784,1.0,1.0,3912,0.5092473223534841,0.2140786979487094,3.3541600986308704,0.13938635954730777,0.3964977400426364,0.05271321596047185,1.4668239646912895,1.4774595378629272,1.1826026986755216,0.8062335543613881,1.0009903048287403,3.3508417438715696,CONTIGUOUS,8192,0.0,0.0,0,True,5.264549842683783,1.9305143672972918,1,10.049206876855408,0.4857526776465159,0.06164689190530094,2.3508417438715696,1
0.1783086259401277,0.7760948957571656,12.063342333162154,2.771565703409225,6.1655689039180865,2.150997995671518,True,False,0.04979522770643234,0.06950695325620472,1.0000000000000002,1.0,0.5075957510483582,0.9805164206773043,SPIN_AUDIT_UNRESTRICTED,0.036456252448260784,1.0,1.0,3912,0.5075957510483582,0.2144984847239144,2.150997995671518,0.13938635954730777,0.3964977400426364,0.05271321596047185,1.4668239646912895,1.4774595378629272,1.1826026986755216,0.8062335543613881,1.0037338503193873,2.142996367998421,CONTIGUOUS,8192,0.0,0.0,0,True,5.264549842683783,1.9305143672972918,1,6.420987476322167,0.48740424895164186,0.06172309068794504,1.1429963679984212,1
