benchmark,benchmark_id,published_mass_squared,published_residue,pair_id,pole_amplitude,source_saturated_pole_residue,canonical_pole_coupling_magnitude,equivalent_published_constrained_source_norm,pole_overlap_nonzero,pole_rest_stueckelberg_scalar_source_zero
anchor,D2_ZERO_ANCHOR,1.0,4.0,U1_V1,-4.898979485566356,15.999999999999998,3.9999999999999996,1.9999999999999998,True,True
anchor,D2_ZERO_ANCHOR,1.0,4.0,U2_V2,4.898979485566356,15.999999999999998,3.9999999999999996,1.9999999999999998,True,True
robustness,D2_ONE_TENTH_ROBUSTNESS,1.8617021276595744,20.364870982344954,U1_V1,-3.8950902467207915,68.15029425079221,8.25531914893617,1.8293341258915807,True,True
robustness,D2_ONE_TENTH_ROBUSTNESS,1.8617021276595744,20.364870982344954,U2_V2,3.8950902467207915,68.15029425079221,8.25531914893617,1.8293341258915807,True,True
