witness,q,connection_residual,connection_residual_norm,full_ward_established
MASSIVE_1PLUS_REST,"[0.42426406871192845, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,False
GENERIC_MIXED_FOURIER,"[1.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 8.0]",8.0,False
