mode,exact_pole_source_nonzero,raw_rest_source_norm2,tensor_character,healthy_reference_branch,canonical_identity,same_action_complete
HOOK_2_PLUS,True,32.0,SPATIAL_SYMMETRIC_TRACELESS,"m1<0,b6<0",J2_NORM2=-32/b6,False
HOOK_1_PLUS,True,128.0,SPATIAL_ANTISYMMETRIC,"m1<0,b7<0",J1_NORM2=-128/b7,False
