projector_penalty,active_coupling_max_ev_m2,active_metric_scale_tev,minimum_background_amplitude_kev,massless_capacity_energy_j,device_range_capacity_energy_j,capacity_fraction_of_10mj,below_strict_10mj,reconstructed_beta3
1.0,9.784321962067051e-25,1.0109615362641529,4.722688107328991,1.1378429479727667e-05,1.7067644219591502e-05,1.7067644219591502e-12,True,0.0028
100.0,9.78432196206705e-26,3.1969410814176364,14.934451097749355,0.0001137842947972767,0.00017067644219591506,1.7067644219591507e-11,True,0.0027999999999999995
10000.0,9.784321962067051e-27,10.10961536264153,47.22688107328991,0.001137842947972767,0.0017067644219591505,1.7067644219591504e-10,True,0.0027999999999999995
1000000.0,9.784321962067051e-28,31.96941081417636,149.3445109774935,0.011378429479727668,0.0170676442195915,1.70676442195915e-09,True,0.0027999999999999995
100000000.0,9.78432196206705e-29,101.09615362641532,472.2688107328991,0.11378429479727671,0.17067644219591505,1.7067644219591505e-08,True,0.002799999999999999
10000000000.0,9.784321962067052e-30,319.69410814176365,1493.445109774935,1.1378429479727665,1.7067644219591498,1.70676442195915e-07,True,0.0028
1000000000000.0,9.78432196206705e-31,1010.9615362641531,4722.6881073289915,11.378429479727671,17.067644219591507,1.7067644219591508e-06,True,0.002799999999999999
1e+16,9.784321962067051e-33,10109.61536264153,47226.88107328991,1137.842947972767,1706.7644219591502,0.00017067644219591503,True,0.0027999999999999995
1e+20,9.78432196206705e-35,101096.15362641531,472268.81073289906,113784.29479727669,170676.44219591503,0.017067644219591505,True,0.002799999999999999
1e+22,9.78432196206705e-36,319694.10814176366,1493445.1097749353,1137842.9479727668,1706764.4219591501,0.17067644219591502,True,0.0027999999999999995
1e+23,3.094074276053948e-36,568505.4500192549,2655762.688736086,3598175.335154411,5397263.002731617,0.5397263002731617,True,0.0028
1e+24,9.78432196206705e-37,1010961.5362641531,4722688.1073289905,11378429.47972767,17067644.219591506,1.7067644219591507,False,0.002799999999999999
