target_inside_mR,lambda_ev_m2,empirical_lambda_over_selected_lambda,payload_canonical_amplitude_ev,source_surface_canonical_amplitude_ev,scalar_yukawa_capacity_energy_j,capacity_below_strict_10mj
0.105,1.9393893070626984e-33,145638137.17198023,167722813.3802304,683876813.7442617,14315641.088777699,False
0.11,3.9733829705674924e-33,71085281.23870441,117177552.86699384,477782418.99247265,6987396.245712902,True
0.15,2.365108911052079e-32,11942327.248102339,48028504.60414856,195832516.9702779,1173882.5692797678,True
0.2,5.67626138652499e-32,4975969.686709308,31002266.41251893,126409346.14529459,489117.73719990306,True
0.25,9.933457426418735e-32,2843411.2495481754,23435510.573398765,95556483.79849452,279495.8498285161,True
0.5,4.541009109219992e-31,621996.2108386635,10960956.406222038,44692452.932347685,61139.71714998788,True
1.0,1.873166257553247e-30,150786.96020331234,5396801.866405357,22005042.66786531,14821.749612118272,True
