epsilon,omega,chi_factor,chi,chi_critical,X_MATCH,centered_E_J,max_shift_m,source_leak,payload_overlap,promoted_E_J,promoted_backreaction,ceiling_alpha_m,ceiling_E_J,ceiling_backreaction,surface_min_mps2,a_cm_mps2,E_over_QmX,scalar_hessian,conservation_rel,DEC_pass,PASS83
0.0075,0.37,5.0,0.7527596676420958,0.15055193352841917,106.66666666666667,745458475520.8254,0.6633250151335334,0.00010000000000236732,1.9374774328949985e-37,162312724388.65543,0.007038947934668998,32.1911874431326,114251081610.64268,0.009999999999996477,9.80665,12.613674618296509,0.5544538615725905,0.0010099944838445674,1.3779824536457114e-06,True,False
0.0075,0.4,2.0,0.3348957994779614,0.1674478997389807,106.66666666666667,873555301614.9135,0.6976123453740031,0.00010000000000000647,5.329539688494665e-38,173419607067.1048,0.007101105554019503,32.04998932440997,123147093492.0659,0.009999999999995441,9.80665,12.67800826184616,0.559680259653776,0.0009661728313816416,1.660013840888297e-06,True,False
0.0075,0.4,2.5,0.4186197493474517,0.1674478997389807,106.66666666666667,802458560121.2213,0.6928586261431571,0.00010000000000396092,9.21990538120776e-38,161375422680.21957,0.007092403379738119,32.069645502884704,114453959322.43617,0.00999999999999559,9.80665,12.668875226694661,0.5718255037635511,0.0009804189436729209,1.644338226619372e-06,True,False
0.0075,0.4,3.125,0.5232746866843146,0.1674478997389807,106.66666666666667,777127049307.7585,0.6878482780989232,0.00010000000000038347,1.486926778761678e-37,158416657489.9241,0.00708326085047883,32.09033534689037,112210650806.25705,0.009999999999995747,9.80665,12.65932502473015,0.5813761093024046,0.0009896308768774444,1.6363051431664168e-06,True,False
0.0075,0.4,4.0,0.6697915989559228,0.1674478997389807,106.66666666666667,777882486254.9567,0.6822179536426378,0.00010000000110084917,2.327822455240297e-37,161000473409.79483,0.0070730230662894075,32.113551383891654,113876006211.14577,0.00999999999999592,9.80665,12.64868487795435,0.5894937347752852,0.0009966684927629422,1.635837658312506e-06,True,False
0.0075,0.4,5.0,0.8372394986949034,0.1674478997389807,106.66666666666667,793781866746.1279,0.6772374465585241,0.00010000000000004531,3.259030681380437e-37,166509786950.24503,0.007063998639646389,32.13405775032281,117622490850.4803,0.009999999999996071,9.80665,12.639352720750276,0.5950138707711321,0.001001303074184986,1.6431194450230538e-06,True,False
0.0075,0.43,2.0,0.37044183612525156,0.18522091806262578,106.66666666666667,945144329967.08,0.7090002831533907,9.999999998701801e-05,1.2902767153921214e-37,181892441740.9396,0.007122062939475119,32.00279942743243,129544941829.38385,0.009999999999999577,9.80665,12.70017721636574,0.5981221244939556,0.0009612388255909381,1.9456487362271893e-06,True,False
0.0075,0.43,2.5,0.46305229515656443,0.18522091806262578,106.66666666666667,865082293286.9287,0.7041821581064945,9.999999999465727e-05,2.1047255023129604e-37,168691120421.43964,0.007113177032302701,32.02278242151332,119992980333.57658,0.009999999999995233,9.80665,12.690747355127895,0.6108379131246539,0.000974511987914586,1.9302150598217675e-06,True,False
0.0075,0.43,3.125,0.5788153689457055,0.18522091806262578,106.66666666666667,833894196142.2158,0.6991673865196512,9.999999999356169e-05,3.2165970999494222e-37,164847146155.92725,0.007103958119760467,32.0435539063196,117106722245.4279,0.009999999999995393,9.806650000000001,12.681011223527754,0.6207457904226602,0.0009830649132686296,1.9253444859563607e-06,True,False
0.0075,0.43,4.0,0.7408836722505031,0.18522091806262578,106.66666666666667,829244550521.3015,0.6936070680123643,9.999999997918269e-05,4.775433065769807e-37,166423856755.4433,0.007093771676441922,32.06655244404034,118057284133.65147,0.00999999999999557,9.80665,12.670308492129726,0.6290561613244826,0.0009895773602196754,1.9304517053116916e-06,True,False
0.0075,0.43,5.0,0.9261045903131289,0.18522091806262578,106.66666666666667,840078236928.8387,0.688761643282,9.999999998867406e-05,6.410642073947697e-37,170826517315.84274,0.007084925243781515,32.08656578866689,121029310483.88127,0.009999999999995717,9.80665,12.661060222924409,0.6346081786905856,0.0009938486544150207,1.942337528579028e-06,True,False
