F50_energy_fraction,F90_energy_fraction,acceleration,active_total,active_total_relerr,aperture_over_h,category,coefficient,core_active,core_active_fraction,dec_saturation_energy_fraction,density_cap,density_cap_active,depth_over_h,energy_effective_length,energy_effective_volume,energy_volume_fraction_50,energy_width_cells,force_effective_length,force_effective_volume,force_volume_fraction_50,force_width_cells,green,grid_scale,max_cell_energy_fraction,max_cell_force_fraction,max_conservation_residual,max_dec_violation,max_energy_density,name,nr,nz,peak_energy_payload_surface_distance,peak_force_payload_surface_distance,radius_over_h,resolution_label,solver,status,support_radius,trace_integral
,,,,,0.5,PHYSICALLY_MOTIVATED_GEOMETRY,nan,,,,nan,,0.25,,,,,,,,,False,,,,,,,024C_PHYSICAL_00_R2P500_D0P250,10,6,,,2.5,COARSE,CLARABEL,infeasible,2.5,
,,,,,0.5,PHYSICALLY_MOTIVATED_GEOMETRY,nan,,,,nan,,0.625,,,,,,,,,False,,,,,,,024C_PHYSICAL_01_R2P500_D0P625,10,6,,,2.5,COARSE,CLARABEL,infeasible,2.5,
0.08379404825975427,0.2653478219984966,1.0000000004632752,80.65050279626497,1.7620292772508455e-16,0.5,PHYSICALLY_MOTIVATED_GEOMETRY,80.65050279626496,nan,nan,0.9999999832205213,nan,False,0.25,0.8947615884914383,0.7163446068660391,0.03166666666666668,2.8632370831726024,0.7186533305637827,0.3711575744506969,0.02500000000000001,2.2996906578041045,True,0.3125,0.5286418454543852,0.2668353179034783,1.0973444375395047e-12,9.146532420345466e-10,175.5400999669942,024C_PHYSICAL_02_R3P125_D0P250,10,6,3.0960605096628147,1.2421785823826632,3.125,COARSE,CLARABEL,optimal,3.125,8.365193684225556e-15
0.1101865650782614,0.24791978395412673,0.9999999976768637,92.1133838717617,0.0,0.5,PHYSICALLY_MOTIVATED_GEOMETRY,92.1133838717617,nan,nan,0.9999999861490727,nan,False,0.625,1.2301567176796802,1.8615783851646046,0.03166666666666665,3.9365014965749765,0.9496302036618093,0.8563741660993747,0.026666666666666658,3.0388166517177897,True,0.3125,0.5213606990921191,0.22063502905318694,5.027736585142621e-15,1.4634213840736265e-08,79.09130531965711,024C_PHYSICAL_03_R3P125_D0P625,10,6,3.1063607879153827,1.267132710387339,3.125,COARSE,CLARABEL,optimal,3.125,-1.4211957969411948e-14
0.11018657174033332,0.24791978727160854,0.9999999992459663,84.35682865128847,1.6846122527847003e-16,0.5,PHYSICALLY_MOTIVATED_GEOMETRY,84.35682865128848,nan,nan,0.9999999990555164,nan,False,1.0,1.4387999726525424,2.978525089232359,0.03166666666666668,4.604159912488136,1.116354479202082,1.391253781486497,0.02666666666666668,3.572334333446663,True,0.3125,0.5213607262764871,0.21887454253297445,1.2620275918467116e-12,4.256266450397561e-09,45.269561803214025,024C_PHYSICAL_04_R3P125_D1P000,10,6,3.1169365218224927,1.2923517947224672,3.125,COARSE,CLARABEL,optimal,3.125,-1.3419544069748217e-14
0.10994625249439265,0.24737904978190045,1.0000000011429306,55.78810301203333,3.8209368883192093e-16,0.5,PHYSICALLY_MOTIVATED_GEOMETRY,55.78810301203331,nan,nan,0.999999866052774,nan,False,0.25,1.0852510089331917,1.2781758120727966,0.036666666666666674,2.713127522332979,0.7536688283017976,0.4280964828203102,0.013333333333333343,1.884172070754494,True,0.4,0.4802060964968483,0.34381004808973414,1.1672606622644789e-12,2.0288027258175134e-08,67.32200611291381,024C_PHYSICAL_05_R4P000_D0P250,10,6,3.8914312054694298,1.385722025831817,4.0,COARSE,CLARABEL,optimal,4.0,2.45278195837143e-14
0.10994631400674125,0.24737920337821687,0.999999999760102,59.857179004851126,9.377801803940535e-15,0.5,PHYSICALLY_MOTIVATED_GEOMETRY,59.857179004850565,nan,nan,0.9999999994105788,nan,False,0.625,1.4729110212787702,3.1954316728499537,0.03666666666666665,3.682277553196925,1.0255477884902229,1.0786181087341045,0.013333333333333334,2.563869471225557,True,0.4,0.48020668996753113,0.34142176348845865,3.697132627817467e-12,1.553898343331639e-09,28.892972755682113,024C_PHYSICAL_06_R4P000_D0P625,10,6,3.8996542634760014,1.4082104709864307,4.0,COARSE,CLARABEL,optimal,4.0,5.483638233187187e-13
0.08097590146318595,0.22493306082312,0.9999999996985215,53.46668914190639,2.657889415498472e-16,0.5,PHYSICALLY_MOTIVATED_GEOMETRY,53.46668914190638,nan,nan,0.9999999999332021,nan,False,1.0,1.7557848932535545,5.4126995915556915,0.04666666666666667,4.3894622331338855,1.150350644282982,1.5222666054182188,0.015000000000000012,2.875876610707455,True,0.4,0.47156554396003386,0.2613551183082703,6.768590808579072e-13,1.4493446442997993e-09,15.839926086116705,024C_PHYSICAL_07_R4P000_D1P000,10,6,3.9081073586453163,1.4310183069411186,4.0,COARSE,CLARABEL,optimal,4.0,9.873260064065483e-15
0.08097589960781854,0.2249330604230899,0.9999999989533688,51.533742733477524,0.0,0.5,PHYSICALLY_MOTIVATED_GEOMETRY,51.533742733477524,nan,nan,0.9999999995821552,nan,False,1.25,1.891361968720466,6.765874785541897,0.04833333333333332,4.728404921801165,1.2434691079918083,1.9226711122164863,0.015000000000000001,3.1086727699795205,True,0.4,0.47156553419595354,0.26115213264293463,1.1395002553457996e-13,7.534403323461447e-09,12.213820186559445,024C_PHYSICAL_08_R4P000_D1P250,10,6,3.9138698275095765,1.446393734255337,4.0,COARSE,CLARABEL,optimal,4.0,-7.0570580023012365e-15
0.10994631484249481,0.24737920238613062,1.0000000000002243,63.140632569053324,6.752001430929794e-16,0.5,PHYSICALLY_MOTIVATED_GEOMETRY,63.14063256905328,nan,nan,0.9999999999646412,nan,False,0.625,1.7091618508864737,4.992862107736513,0.03666666666666666,3.4183237017729473,1.1623906417863827,1.5705664452113546,0.013333333333333332,2.3247812835727655,True,0.5,0.4802066837113326,0.35609493369433975,4.920527957568338e-13,2.194145309886153e-09,19.50584997857097,024C_PHYSICAL_09_R5P000_D0P625,10,6,4.821819774981511,1.5905246732027531,5.0,COARSE,CLARABEL,optimal,5.0,5.6257239456640027e-14
