mixing,abs_cross_response,visible_offstate_correction,hidden_response,reciprocity_identity_relative_error,physical_units_assigned,empirical_bound_assigned
0.1,0.10101010101010102,0.010101010101010104,1.0101010101010102,0.0,False,False
0.03,0.0300270243218897,0.000900810729656691,1.0009008107296566,1.2025016519764336e-16,False,False
0.01,0.010001000100010001,0.00010001000100010001,1.000100010001,1.3549816786162862e-16,False,False
0.003,0.0030000270002430024,9.000081000729008e-06,1.0000090000810007,0.0,False,False
0.001,0.001000001000001,1.000001000001e-06,1.000001000001,0.0,False,False
