bare_string_ratio,optimal_r_over_h,mass_coefficient
0.0,4.006149709429267,79.75314811601228
0.01,4.039325644256843,82.04143617394519
0.05,4.171597253678321,91.60438818421633
0.1,4.33603315468408,104.50460422343382
0.25,4.824229508470125,149.90673652808118
