background_gradient_relative,canonical_background_gradient_relative,canonical_hidden_source_coupling_relative,control_ratio,kappa,large_kx_improves_fixed_source_control,local_canonical_scale_relative,required_linear_g3_coefficient_relative,source_drive_multiplier
1.0,1.0,1.0,0.19423543641148613,1.0,False,1.0,1.0,1.0
0.5,0.7071067811865475,0.7071067811865475,0.1541647680445477,2.0,False,0.7937005259840998,5.656854249492381,1.0
0.2,0.4472135954999579,0.4472135954999579,0.11358957229134053,5.0,False,0.5848035476425733,55.90169943749474,1.0
0.1,0.31622776601683794,0.31622776601683794,0.09015610327394591,10.0,False,0.4641588833612779,316.22776601683796,1.0
0.01,0.1,0.1,0.04184675622383878,100.0,False,0.2154434690031884,100000.0,1.0
0.001,0.03162277660168379,0.03162277660168379,0.01942354364114862,1000.0,False,0.10000000000000002,31622776.60168379,1.0
0.0001,0.01,0.01,0.009015610327394591,10000.0,False,0.046415888336127795,10000000000.0,1.0
