extent_m,kernel_l2,kernel_l2_rel_to_exact,energy_j,energy_rel_to_exact,active_mass_abs_kg,kernel_l2_quad_error,kernel_l1_quad_error
0.25,2.9425898258374326,0.37466217301915744,142102594.56557822,2.669071158002565,17373067836.55611,3.266930976672447e-14,3.8627937707240086e-15
0.5,4.915859717734245,0.6259066988989875,85061346.94716235,1.597682213274068,33481707387.559193,5.457700644457853e-14,1.2436619737781311e-14
1.0,6.247187704667421,0.7954166428965853,66934061.97501681,1.257202761509245,67646040674.246544,6.935771560603565e-14,3.1931712864231135e-14
2.0,7.0085920976159155,0.8923616611602947,59662431.93636742,1.1206218773448293,136566080302.39009,7.780959289223432e-14,7.232174677958376e-14
4.0,7.419056224060236,0.944623576908703,56361568.96044264,1.0586227407879416,274381064725.99905,8.252684252459215e-14,1.5381478304246425e-13
8.0,7.633176295297181,0.9718861911107419,54780556.981422685,1.028927058688968,549878094007.846,8.481692993231873e-14,3.171516604304993e-13
16.0,7.742702731742844,0.9858315301183959,54005644.2150981,1.0143721005554596,1100770373654.1028,8.524394249173248e-14,6.439981144790576e-13
32.0,7.7981177205099,0.9928871856253231,53621869.27417022,1.0071637689333228,2202494592211.0117,8.532791841986871e-14,1.2977765296836697e-12
