a,b,chi_omega_over_m,qbar_mobile,gross_negative_q,gross_positive_q,negative_duty,minimal_compensation_energy,compensation_q,ideal_kernel_ratio_threshold,ideal_separated_C
0.9884588225092739,1.1226674255818845,0.13437550286770764,-1.4744752563548176,1.6979062455334386,0.2234309891786211,0.9015640548773945,0.8248250854516058,4.0,2.0747502049963265,1.0747502049963262
0.9917886455962435,1.0565071953862266,0.13628661419690297,-1.4673212939059208,1.6939110808116487,0.22658978690572779,0.8989196926315882,0.8224404313019736,4.0,2.075877271213516,1.0758772712135156
0.9943639179505408,0.9764195133049375,0.14033136418997527,-1.4521617663081408,1.6854697799497111,0.23330801364157042,0.8978330756539744,0.817387255436047,4.0,2.0782674818947346,1.0782674818947344
0.9676621188828721,1.317711121708534,0.1433875857882114,-1.4378732579496842,1.6762472094571192,0.23837395150743515,0.8937326140861924,0.8126244193165615,4.0,2.0813586498996237,1.0813586498996233
0.9873693144647404,1.0982561565263311,0.14541544647935342,-1.4309098393761428,1.6727126679339381,0.2418028285577951,0.8941108036457763,0.8103032797920475,4.0,2.0822559752764085,1.0822559752764085
0.9852271240809932,1.1265880169000002,0.14628857473378437,-1.4272335239462932,1.6705023785640993,0.24326885461780612,0.8928263476180365,0.809077841315431,4.0,2.0829543642257162,1.0829543642257162
0.9756914996681735,1.2355064082651634,0.1469473905035534,-1.4239687324577144,1.6683106011422486,0.2443418686845342,0.8928828926605265,0.8079895774859048,4.0,2.083724802952173,1.083724802952173
0.9808092756150291,1.1717920773707178,0.14935345816929135,-1.4147268848991577,1.6630874236606055,0.2483605387614477,0.8895482340961813,0.8049089616330525,4.0,2.085276057021876,1.0852760570218762
0.9909162702132016,1.0093234043360066,0.15095791971473385,-1.4098891597191514,1.6609135388475114,0.2510243791283599,0.8893217064027448,0.8032963865730505,4.0,2.0857256229149272,1.0857256229149272
0.9709887069789692,1.2680079503768782,0.1506238101195581,-1.4090825318780458,1.659550487386563,0.25046795550851747,0.8895208121356578,0.8030275106260153,4.0,2.0864553530187555,1.086455353018755
0.9941115812491625,0.8934562828812526,0.15732212897086095,-1.3867665709275991,1.648294937347515,0.26152836641991617,0.8847750305894723,0.7955888569758663,4.0,2.089361385690707,1.0893613856907072
0.9541775667807088,1.3859709940626646,0.1550095838567401,-1.3907840128294526,1.6485102833503633,0.25772627052091057,0.8870036884253116,0.7969280042764842,4.0,2.0900314195338128,1.0900314195338128
0.957382532749325,1.35003854542812,0.15929473022631055,-1.3736609076684838,1.638515178438965,0.26485427077048157,0.8847035189372461,0.7912203025561612,4.0,2.093197259400844,1.0931972594008437
0.9792460466641932,1.1452609320922407,0.16063385880532433,-1.3699070050220166,1.6370819396797895,0.2671749346577729,0.8819815927410257,0.7899690016740055,4.0,2.093389987567831,1.0933899875678308
0.96216296243947,1.307951104550237,0.16094432260454516,-1.3672788498882449,1.63493318304135,0.26765433315310505,0.8811399801376161,0.7890929499627483,4.0,2.094291172581515,1.0942911725815152
0.9481338689848781,1.4046280709697887,0.1623460180757647,-1.3609026260519341,1.630860905664611,0.26995827961267677,0.8813405636863736,0.7869675420173113,4.0,2.095720386582621,1.095720386582621
0.9838864506408572,1.0584977007278846,0.16606600595289955,-1.3493095577782643,1.625509645042145,0.27620008726388057,0.8770261970493302,0.7831031859260881,4.0,2.09695023426321,1.0969502342632098
0.9723649115720764,1.1832429107963607,0.16935849105098993,-1.3344899985846943,1.6162032983208001,0.2817132997361057,0.8746862546900332,0.7781633328615648,4.0,2.1002101868676037,1.1002101868676035
0.9644733918085694,1.256477220036832,0.16950566581434098,-1.3330946616979877,1.6150494517753147,0.28195479007732693,0.8761901695639639,0.777698220565996,4.0,2.1007082282291063,1.1007082282291063
0.9867161539616063,0.9801673081097055,0.1722318439013651,-1.3261773634494807,1.6126049989986093,0.2864276355491288,0.8747446455909931,0.7753924544831602,4.0,2.100946887542602,1.1009468875426023
0.9677971368934959,1.2187654768401928,0.1714124730897565,-1.325793964376423,1.6109041489872142,0.2851101846107914,0.8757605677862864,0.775264654792141,4.0,2.1020299723656817,1.1020299723656812
0.9906335648149251,0.855851600199534,0.17945858330385941,-1.300718005351967,1.5990111675757948,0.298293162223828,0.8699073782126853,0.7669060017839889,4.0,2.104999162990671,1.1049991629906712
0.9920713769411668,0.8125194623904726,0.18031689104852114,-1.298697745599729,1.598359179281503,0.2996614336817741,0.8672832299545757,0.7662325818665764,4.0,2.105028584789394,1.1050285847893937
0.961463219365105,1.2573085776448623,0.17543681611332868,-1.309040102327175,1.6008940330131338,0.29185393068595894,0.8719275345314094,0.7696800341090583,4.0,2.1054323381905813,1.1054323381905815
0.9507929703220726,1.340327370350932,0.17530308834142178,-1.308638475377326,1.6002315560645504,0.29159308068722445,0.8699503423686726,0.7695461584591087,4.0,2.105806313938061,1.1058063139380614
0.9586863878974691,1.26973734999372,0.17786113504067225,-1.299031039481817,1.5949363770712401,0.2959053375894231,0.8698807978610453,0.7663436798272724,4.0,2.1074696804337645,1.1074696804337645
0.9749477751739323,1.1045135723444537,0.18002813955820082,-1.2927156311015604,1.5922118081621097,0.29949617706054943,0.8691245190130312,0.7642385437005202,4.0,2.1080426201191043,1.108042620119104
0.9274171458976344,1.480232303797058,0.17766544340241255,-1.2974173555509778,1.5929071339425742,0.2954897783915965,0.8686269518419423,0.7658057851836593,4.0,2.1085428318806927,1.108542831880693
0.954270497476682,1.2939382131384471,0.18029483739381438,-1.2887992668170256,1.5887692293806068,0.29996996256358127,0.8675212624203633,0.7629330889390085,4.0,2.109621873546922,1.109621873546922
0.9189466146612539,1.5232138861233657,0.17883779690387774,-1.2920834397194356,1.5894704048042765,0.2973869650848409,0.8667863531136503,0.764027813239812,4.0,2.109821112685033,1.109821112685033
0.9672955038817599,1.176819958844297,0.18162128849393358,-1.2850831181161941,1.5872762308086703,0.3021931126924762,0.8659826434594083,0.7616943727053981,4.0,2.1098851847657714,1.1098851847657711
0.9715909249475225,1.1302641333635328,0.18226601928722136,-1.283254614815608,1.5865138818824422,0.30325926706683415,0.866811278360536,0.7610848716052027,4.0,2.1100343285465786,1.1100343285465786
