omega,epsilon,chi,chi_factor,shift_m,max_shift_1e4_m,max_shift_1e6_m,source_leak,payload_overlap,promoted_alpha,promoted_energy_J,promoted_backreaction,ceiling_alpha,ceiling_energy_J,ceiling_backreaction,ceiling_surface_min_mps2,ceiling_a_cm_mps2
0.4,0.01,0.5293023881131728,3.125,0.0,0.5979802765197653,0.5004845500268813,1.0711382908084361e-16,2.4445580443826077e-44,27.007903507182004,575435983964.7236,0.00608603639031217,34.61972397598477,350212433870.44,0.009999999999999997,9.80665,11.821779707157022
0.4,0.01,0.5293023881131728,3.125,0.14949506912994132,0.5979802765197653,0.5004845500268813,2.4376927115772347e-14,1.1203254145378362e-40,27.007903507182004,422955533298.927,0.0062642804689895725,34.123634086683666,264951208649.5524,0.010000000000000049,9.80665,11.948129256490596
0.4,0.01,0.5293023881131728,3.125,0.29899013825988263,0.5979802765197653,0.5004845500268813,4.1655329661326744e-11,5.1579745599250425e-37,27.007903507182004,305281125029.23553,0.0064617435491625234,33.59820026233551,197264834004.83035,0.010000000001472324,9.80665,12.09805578306524
0.4,0.01,0.5293023881131728,3.125,0.44848520738982395,0.5979802765197653,0.5004845500268813,7.7257773643456e-08,2.3839843404614104e-33,27.007903507182004,215742283099.4001,0.00668094351728025,33.04242959201732,144136200767.62146,0.009999999999999743,9.80665,12.278678073289997
0.4,0.01,0.5293023881131728,3.125,0.5979802765197653,0.5979802765197653,0.5004845500268813,0.00010000000000133153,1.1042971765041714e-29,27.007903507182004,148732909546.05093,0.006924383348368497,32.45639810058844,102988368221.52728,0.009999999999998059,9.80665,12.500273765119628
0.4,0.01,0.8468838209810764,5.0,0.0,0.5838113196640815,0.4821337846140477,4.128660096286615e-16,1.1227542243947716e-43,27.007903507182004,588424176159.8896,0.0060860363903121745,34.61972397598476,358117094904.8551,0.009999999999999998,9.80665,11.821779707157035
0.4,0.01,0.8468838209810764,5.0,0.14595282991602038,0.5838113196640815,0.4821337846140477,7.408239332178302e-14,4.174144684667074e-40,27.007903507182004,435755636960.4289,0.006259844373883897,34.13572295568598,272776247241.49316,0.01000000000000001,9.806650000000001,11.944886107256172
0.4,0.01,0.8468838209810764,5.0,0.29190565983204075,0.5838113196640815,0.4821337846140477,9.348963662320535e-11,1.5545530734449983e-36,27.007903507182004,317175308556.8807,0.006451915530865623,33.62378011288211,204638829903.19928,0.010000000001237505,9.80665,12.090324007149267
0.4,0.01,0.8468838209810764,5.0,0.43785848974806113,0.5838113196640815,0.4821337846140477,1.2110095049747648e-07,5.790249546161605e-33,27.007903507182004,226297730833.68848,0.006664589807435311,33.08294485531748,150818155035.99722,0.009999999999999785,9.80665,12.264630248190016
0.4,0.01,0.8468838209810764,5.0,0.5838113196640815,0.5838113196640815,0.4821337846140477,9.999999999902246e-05,2.1508217563431e-29,27.007903507182004,157733138002.63614,0.006900209340034745,32.51320183022311,108839167207.89607,0.00999999999999833,9.80665,12.477144327314084
0.4,0.01,0.33875352839243056,2.0,0.0,0.6110733970150182,0.5189783918211702,2.387622591315005e-17,4.4821935349241775e-45,27.007903507182004,645517043852.4976,0.006086036390312168,34.619723975984776,392864021945.30347,0.01,9.80665,11.821779707157019
0.4,0.01,0.33875352839243056,2.0,0.15276834925375454,0.6110733970150182,0.5189783918211702,6.895569114784874e-15,2.49807410682232e-41,27.007903507182004,471187545881.18787,0.006268389318325369,34.112448449676734,295358697952.95416,0.010000000000000136,9.806649999999998,11.951137839839289
0.4,0.01,0.33875352839243056,2.0,0.3055366985075091,0.6110733970150182,0.5189783918211702,1.6126494659855522e-11,1.4035385101942485e-37,27.007903507182004,337451088744.98114,0.006470868721226683,33.57450193602547,218360169472.89148,0.010000000001716768,9.80665,12.105261247361081
0.4,0.01,0.33875352839243056,2.0,0.45830504776126363,0.6110733970150182,0.5189783918211702,4.442524752746284e-08,7.953185895328168e-34,27.007903507182004,236366256025.99738,0.006696164540607364,33.0048539230418,158274734219.7454,0.009999999999999695,9.80665,12.29184138116326
0.4,0.01,0.33875352839243056,2.0,0.6110733970150182,0.6110733970150182,0.5189783918211702,0.00010000000026774902,4.545856484500951e-30,27.007903507182004,161285428614.79654,0.006946932095757025,32.40368087602135,112043892062.23062,0.009999999999997788,9.80665,12.52209133210353
0.4,0.01,0.31758143286790363,1.875,0.0,0.6128238487636919,0.5216159769596487,1.8982861262164086e-17,3.4584236482142786e-45,27.007903507182004,671190135333.7166,0.006086036390312171,34.61972397598477,408488758845.9549,0.01,9.80665,11.821779707157026
0.4,0.01,0.31758143286790363,1.875,0.15320596219092297,0.6128238487636919,0.5216159769596487,5.6712417691506034e-15,1.979081932615431e-41,27.007903507182004,489472997831.5146,0.006268939339590284,34.11095194583514,306847653177.31256,0.010000000000000151,9.80665,11.951540918755597
