scale,thickness_over_h,inner_smoothing_over_h,outer_collar_over_h,outer_radius_over_h,mass_factor,field_factor,coefficient,relative_to_thin,trace_factor,max_conservation_residual,max_dec_violation,min_nec_margin,min_energy,max_volume_energy_normalized
0.4,0.4,0.1,0.4,5.1014374053000004,11.369718516275906,0.14945352953547114,38.03763802572969,1.6236867123445697,1.7763568394002505e-15,3.1051550219984847e-16,0.0,0.0,5.396534545787623e-15,7.6254037010955535
0.2,0.2,0.05,0.2,4.9014374053,11.233723934207863,0.190019680852352,29.55936954482264,1.2617806479662603,-2.6645352591003757e-15,8.604228440844963e-16,0.0,0.0,1.1233473332172284e-14,30.693744618571973
0.1,0.1,0.025,0.1,4.8014374053,11.165255241659889,0.21260499824587722,26.258214373556953,1.1208664885921693,-1.3322676295501878e-14,2.42861286636753e-15,0.0,0.0,9.173947171898418e-14,123.18727538408477
0.05,0.05,0.0125,0.05,4.7514374053,11.130897375157643,0.224509078285604,24.78941488726289,1.0581688466570678,-1.3322676295501878e-14,4.9682480351975755e-15,0.0,0.0,1.854097164629198e-13,493.5727937660979
0.025,0.025,0.00625,0.025,4.7264374053000004,11.113686825672287,0.2306181474952298,24.095429926871144,1.0285451839576951,2.6645352591003757e-14,2.9976021664879227e-15,0.0,0.0,1.4911233752849546e-12,1973.402849499404
0.0125,0.0125,0.003125,0.0125,4.7139374053,11.105073553053314,0.23371243332456915,23.757986246352363,1.0141409557074452,-7.283063041541027e-14,7.827072323607354e-15,0.0,0.0,2.9901548072912846e-12,7880.911863245275
0.00625,0.00625,0.0015625,0.00625,4.7076874053,11.100764905398297,0.23526957374951532,23.591586299248704,1.0070379546519042,2.922107000813412e-13,3.1030733538273125e-14,0.0,0.0,2.395299667154304e-11,31111.125410605313
