duration_label,duration_s,declared_alpha10_min_source_j,declared_alpha10_over_10mj,causal_oracle_min_source_j,causal_oracle_over_10mj
1_SECOND,1.0,inf,inf,inf,inf
1_MINUTE,60.0,3.820302891780351e+26,3.820302891780351e+19,2.3140525157899463e+25,2.3140525157899464e+18
1_HOUR,3600.0,3.7209149180819226e+24,3.7209149180819226e+17,3.697473655958049e+23,3.697473655958049e+16
1_DAY,86400.0,1.53998520955358e+23,1.5399852095535798e+16,1.5395812430166415e+22,1539581243016641.5
1_YEAR,31557600.0,4.215024228599257e+20,42150242285992.57,4.215021201326895e+19,4215021201326.895
100_YEARS,3155760000.0,4.215020898795392e+18,421502089879.5392,4.2150208683467494e+17,42150208683.46749
AGE_UNIVERSE,4.3549488e+17,30543629457.68867,3054.362945768867,3054362945.640083,305.4362945640083
