success,trivial_branch,radius_m,factor,eta_critical,eta,message,edge_width_m,phi_center_gev,phi_near_payload_gev,alpha_x_center,M_m_required_gev,alpha_m_near_payload,payload_mass_shift_ratio_rho8000,compactness,E_gradient_J,E_potential_J,E_source_on_J,E_source_off_J,E_on_J,E_inventory_J,off_over_on,payload_center_m,a_cm_mps2,a_near_surface_mps2,a_center_sample_mps2,a_far_surface_mps2,a_adverse_surface_mps2
True,,0.7,12.0,64.87218990546637,778.4662788655965,,0.05,215.56827124872595,44.86115013767812,-7.500408329477662e+16,3305100612.466226,10.0,0.0008828074301478798,3.931276114447034e-33,104977434036.83727,9989719646.594257,51557554052.64769,523716236018.0543,166524707736.07922,523716236018.0543,10.157895300526953,1.8,11.962382052799722,14.757729363828421,11.935155707688226,9.738618971954565,9.738618971954565
True,,0.7,15.0,64.87218990546637,973.0828485819956,,0.05,224.29683863272945,47.138388887792225,-7.804107102641962e+16,3387948891.907522,10.0,0.0008401593181471312,4.20354220420669e-33,115233364634.6546,11015746499.353775,51808500855.998856,654645295022.5679,178057611990.00723,654645295022.5679,12.635866396561967,1.8,12.569615703089614,15.506860250305204,12.541007296039858,10.232970107123196,10.232970107123196
False,True,0.8,0.625,50.84296571411573,31.77685357132233,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
False,True,0.8,1.05,50.84296571411573,53.38511399982151,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
True,,0.8,1.25,50.84296571411573,63.55370714264466,,0.05,61.20891432545944,11.492518544787604,-2.1296819248286012e+16,1672850341.67907,10.0,0.0034460467922833144,1.3213199570432488e-33,7658970510.968331,772121958.9298372,55534300741.41031,64699773730.93353,63965393211.30848,64699773730.93353,1.1650416565466681,1.9000000000000001,2.9780295572723725,3.642009257742294,2.9717347164116235,2.4441773942627316,2.4441773942627316
False,True,0.8,1.6,50.84296571411573,81.34874514258517,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
False,True,0.8,1.875,50.84296571411573,95.33056071396699,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
True,,0.8,3.125,50.84296571411573,158.88426785661164,,0.05,149.79575477439536,30.989673066021858,-5.211942000193169e+16,2746995702.868194,10.0,0.0012779662625723126,2.4012407071426215e-33,52364668798.00227,5543394806.227053,58336533481.161354,161749434327.33383,116244597085.39069,161749434327.33383,2.772695336440717,1.9000000000000001,8.030281787335253,9.820708642845567,8.013307695928136,6.5907449327472944,6.5907449327472944
True,,0.8,5.0,50.84296571411573,254.21482857057865,,0.05,176.67870343428748,37.816159794082054,-6.147298075006831e+16,3034507358.6760306,10.0,0.001047270713953338,2.972661643843981e-33,76349544083.83134,8215957799.537794,59341709930.90835,258799094923.73413,143907211814.2775,258799094923.73413,4.361166795244936,1.9000000000000001,9.79921339003528,11.984040184540255,9.778500201108004,8.042571569174767,8.042571569174767
True,,0.8,7.5,50.84296571411573,381.32224285586796,,0.05,196.26306635843767,43.04092148536402,-6.82870966657786e+16,3237354534.444156,10.0,0.0009201419323698495,3.472786095718888e-33,97447753976.441,10606642523.583082,60063951343.981514,388198642385.60126,168118347844.00558,388198642385.60126,6.463088652999504,1.9000000000000001,11.153093715370835,13.639780862703143,11.12951874786529,9.153750495401791,9.153750495401791
