location,delta_z,z_factor,f_rescaled_ev,c1_rescaled_ev_m4,collective_loop_rescaled,full_rge_completed
LOW_ENERGY_REFERENCE,0.0,1.0,22.70625323988203,1.5142715050689224e-18,0.3000001342220977,False
OCCUPIED_HARD_SCALE_SCOUT,2.482254192298938,3.482254192298938,42.371682769869004,4.348538106200744e-19,0.08615113017468769,False
DECLARED_NDA_CUTOFF_SCOUT,4.416572781507421,5.416572781507421,52.84547047421553,2.7956266188072965e-19,0.05538560014301299,False
