radius_m,radius_ly,radius_pc,positive_tail_energy_j,tail_over_10mj
0.09999999700712055,1.0570008023898546e-17,3.2407791924517475e-18,1.782748691144421e+27,1.782748691144421e+20
0.1883649033819146,1.9910185997564985e-17,6.104490777382977e-18,9.464335477476574e+26,9.464335477476575e+19
0.3548133788799169,3.75038037399164e-17,1.1498718498918112e-17,5.024468478096074e+26,5.024468478096074e+19
0.6683438983159891,7.064400579352632e-17,2.165955063888968e-17,2.6674121545522492e+26,2.667412154552249e+19
1.2589253759999532,1.3306851724067032e-16,4.0798992854966085e-17,1.4160876186746816e+26,1.4160876186746817e+19
2.3713736391250717,2.506543914339188e-16,7.685098577210848e-17,7.517788881412438e+25,7.517788881412438e+18
4.466835797849142,4.721449163777552e-16,1.4476028943018196e-16,3.991077170661446e+25,3.991077170661446e+18
8.413951186666727,8.893553421749133e-16,2.726775874814537e-16,2.1188007848369225e+25,2.1188007848369226e+18
15.848931497705651,1.6752333811473871e-15,5.136288895758694e-16,1.1248383766735182e+25,1.1248383766735182e+18
29.853825396208087,3.1555518342617195e-15,9.674965905471938e-16,5.971591962266047e+24,5.971591962266047e+17
56.234131046392605,5.943952341668651e-15,1.8224240725504956e-15,3.1702252788758334e+24,3.1702252788758336e+17
105.92536978341525,1.1196320420543571e-14,3.432807446208281e-15,1.683023284633392e+24,1.683023284633392e+17
199.52622642104535,2.1089938773682922e-14,6.466204622863108e-15,8.934908807561468e+23,8.934908807561467e+16
375.8373948679424,3.9726043983305385e-14,1.2180060454867516e-14,4.743404094782278e+23,4.7434040947822776e+16
707.945766904068,7.482992660617959e-14,2.2942959794325116e-14,2.5181994456793997e+23,2.5181994456793996e+16
1333.52139973589,1.4095332317105085e-13,4.321648534294933e-14,1.3368729126821537e+23,1.3368729126821538e+16
2511.8863713673954,2.6550659895104017e-13,8.140469329765013e-14,7.097250329912125e+22,7097250329912125.0
4731.5124780981405,5.001212635547609e-13,1.533378764676804e-13,3.7678197955540172e+22,3767819795554017.0
8912.509174613451,9.420529630818455e-13,2.8883475150070163e-13,2.000276917376887e+22,2000276917376886.8
16788.039798110694,1.774497206824144e-12,5.44063316880849e-13,1.0619158991924298e+22,1061915899192429.9
31622.775891860147,3.342530049186968e-12,1.0248243718508093e-12,5.637546317519171e+21,563754631751917.0
59566.2130381267,6.2961536860987844e-12,1.9304094956459193e-12,2.992885642482952e+21,299288564248295.2
112201.8429955987,1.1859744162544678e-11,3.6362140901762454e-12,1.5888764303620513e+21,158887643036205.12
211348.89947680477,2.2339596301716726e-11,6.8493513627128795e-12,8.435097803689087e+20,84350978036890.88
398107.16221308976,4.207996024904088e-11,1.2901774462796496e-11,4.478062207870233e+20,44780622078702.33
749894.1939025979,7.926387883852627e-11,2.430241572874116e-11,2.377333565567597e+20,23773335655675.97
1412537.516086761,1.493053332594765e-10,4.5777223276971614e-11,1.2620894082358672e+20,12620894082358.672
2660725.007042416,2.8123885515539846e-10,8.622822497729774e-11,6.7002363381045264e+19,6700236338104.526
5011872.238773182,5.29755313640807e-10,1.624237175275729e-10,3.557051243240165e+19,3557051243240.165
9440608.582736138,9.978731145652042e-10,3.0594928774682e-10,1.888383171662238e+19,1888383171662.238
17782793.767753247,1.879642784380292e-09,5.763010975099505e-10,1.002513250208008e+19,1002513250208.0079
33496543.301744767,3.5405874206885867e-09,1.0855490380027082e-09,5.322186894717706e+18,532218689471.7706
63095733.314991824,6.6692242737341076e-09,2.0447934577953036e-09,2.82546623063863e+18,282546623063.863
118850220.65393844,1.2562478235522251e-08,3.851673336411766e-09,1.499996068984854e+18,149999606898.4854
223872110.0042063,2.366330069892965e-08,7.255200975858424e-09,7.963245791337769e+17,79632457913.37769
421696496.32934374,4.457335483253745e-08,1.366625271735389e-08,4.2275633146275424e+17,42275633146.27542
794328221.6489751,8.396055927722563e-08,2.5742424497411717e-08,2.2443475998977203e+17,22443475998.977203
1496235632.0248983,1.581522310947665e-07,4.8489694483949907e-08,1.1914892277871082e+17,11914892277.871082
2818382886.980287,2.979033062138867e-07,9.133756889850133e-08,6.325430962643264e+16,6325430962.643264
5308844360.880135,5.611452917157179e-07,1.7204792855623847e-07,3.358072899868073e+16,3358072899.868073
9999999850.356049,1.0570008182072374e-06,3.2407792409480635e-07,1.7827486644666572e+16,1782748664.4666572
18836490620.068195,1.9910186295508927e-06,6.104490868733006e-07,9464335335848496.0,946433533.5848496
35481338418.94862,3.750380430113833e-06,1.1498718670989537e-06,5024468402907919.0,502446840.2907919
66834390831.73534,7.064400685067136e-06,2.1659550963011823e-06,2667412114636032.0,266741211.4636032
