E_over_QmX,I_E,I_Q,J2,Q_residual,f0,mu,nodes,omega,y0
1.0000031245600445,7559.725316413458,7559.701695671592,18.899313299625323,965.4818033213724,4.337286604876281,0.0025,0,0.9999968749951171,0.010843216512190704
1.000003165305526,7510.915125256753,7510.891350990855,18.899340192744546,916.671458640636,4.337285286957901,0.0025162500000000003,0,0.9999968342379577,0.010913694103307819
1.0000032063148434,7462.731392316064,7462.707464526348,18.899367260087658,868.4875721761291,4.337283960507241,0.0025325,0,0.9999967932167333,0.010984171629984588
1.0000032475879947,7415.1621353105165,7415.138053997193,18.89939450165436,820.9181616469741,4.337282625524428,0.0025487500000000002,0,0.9999967519314438,0.011054649091805386
1.0000032891249766,7368.195675603781,7368.171440767062,18.89942191744436,773.9515484168433,4.3372812820095845,0.002565,0,0.9999967103820891,0.011125126488354585
1.000003330925787,7321.820628646253,7321.7962402863495,18.89944950745736,727.5763479361303,4.337279929962839,0.00258125,0,0.9999966685686695,0.011195603819216578
1.0000033729904212,7276.025894775991,7276.001352893124,18.89947727169307,681.7814605429048,4.337278569384318,0.0025975,0,0.9999966264911847,0.011266081083975766
1.0000034153188773,7230.800650362821,7230.775954957206,18.899505210151172,636.5560626069864,4.337277200274149,0.00261375,0,0.9999965841496348,0.011336558282216557
1.0000034579111523,7186.134339280747,7186.109490352598,18.89953332283138,591.889598002379,4.337275822632461,0.00263,0,0.9999965415440195,0.011407035413523371
1.000003500767243,7142.016664694521,7141.9916622440605,18.89956160973339,547.7717698938413,4.337274436459384,0.00264625,0,0.9999964986743392,0.011477512477480646
1.0000035438871464,7098.437581147042,7098.412425174489,18.899590070856885,504.1925328242696,4.337273041755047,0.0026625,0,0.9999964555405934,0.011547989473672813
1.0000035872708595,7055.387286934713,7055.361977440289,18.89961870620156,461.1420850900695,4.337271638519583,0.00267875,0,0.9999964121427823,0.011618466401684334
1.0000036309183786,7012.856216758666,7012.830753742595,18.899647515767118,418.61086139237614,4.337270226753122,0.002695,0,0.999996368480906,0.011688943261099665
1.0000036748297014,6970.835034640236,6970.809418102744,18.89967649955323,376.5895257525244,4.337268806455799,0.00271125,0,0.9999963245549643,0.011759420051503286
1.000003719004824,6929.314627089719,6929.2888570310315,18.8997056575596,335.0689646808123,4.337267377627745,0.0027275,0,0.9999962803649571,0.011829896772479673
1.0000037634437442,6888.28609651784,6888.260172938183,18.8997349897859,294.04028058796393,4.337265940269096,0.00274375,0,0.9999962359108846,0.011900373423613332
1.0000038081464586,6847.740754880006,6847.714677779606,18.899764496231814,253.49478542938687,4.337264494379986,0.00276,0,0.9999961911927465,0.011970850004488762
1.000003853112963,6807.67011754373,6807.643886922823,18.89979417689703,213.423994572604,4.337263039960552,0.00277625,0,0.9999961462105429,0.012041326514690484
1.0000038983432553,6768.06589737023,6768.039513229042,18.89982403178122,173.81962087882312,4.33726157701093,0.0027925,0,0.9999961009642738,0.012111802953803022
1.0000039438373312,6728.919999001393,6728.8934613401625,18.89985406088407,134.6735689899433,4.337260105531257,0.00280875,0,0.999996055453939,0.01218227932141092
1.0000039895951889,6690.224513343998,6690.197822162954,18.899884264205244,95.97792981273506,4.337258625521674,0.0028250000000000003,0,0.9999960096795387,0.01225275561709873
1.000004035616824,6651.971712243158,6651.944867542538,18.899914641744427,57.72497519231911,4.337257136982316,0.00284125,0,0.9999959636410727,0.012323231840451006
1.0000040819022333,6614.154043337531,6614.127045117574,18.89994519350129,19.907152767355,4.337255639913327,0.0028575,0,0.9999959173385409,0.01239370799105233
1.0000041284514143,6576.764125089091,6576.736973350032,18.899975919475487,-17.482919000187394,4.337254134314845,0.00287375,0,0.9999958707719435,0.012464184068487287
1.0000041752643625,6539.794741980556,6539.767436722638,18.900006819666707,-54.452455627581,4.337252620187012,0.00289,0,0.9999958239412803,0.012534660072340467
1.0000042223410763,6503.238839873966,6503.211381097423,18.9000378940746,-91.00851125279587,4.337251097529971,0.00290625,0,0.9999957768465513,0.012605136002196479
1.00000426968155,6467.089521524056,6467.061909229139,18.90006914269884,-127.15798312108018,4.337249566343865,0.0029225,0,0.9999957294877564,0.012675611857639947
1.0000043172857824,6431.3400422405675,6431.312276427514,18.900100565539084,-162.9076159227052,4.337248026628837,0.00293875,0,0.9999956818648956,0.012746087638255493
1.0000043651537687,6395.983805693576,6395.955886362634,18.900132162594996,-198.26400598758482,4.337246478385033,0.002955,0,0.999995633977969,0.012816563343627773
1.0000044132855064,6361.014359856564,6360.986287007977,18.90016393386623,-233.2336053422423,4.337244921612598,0.00297125,0,0.9999955858269763,0.012887038973341432
1.0000044616809913,6326.425393081819,6326.397166715837,18.90019587935245,-267.82272563438255,4.337243356311679,0.0029875,0,0.9999955374119177,0.01295751452698114
1.0000045103402204,6292.210730303279,6292.182350420149,18.9002279990533,-302.0375419300699,4.337241782482421,0.00300375,0,0.999995488732793,0.013027990004131572
