i,j,r_over_h,z_over_h,payload_surface_distance_over_h,rho,cell_energy,S,S_over_rho,kernel_cell_integral,signed_force,gross_outward_force,lambda_min_over_rho,lambda_mid_over_rho,lambda_max_over_rho,dec_ratio,in_teacher_F50,in_teacher_F90
0,0,0.03493418511502632,-3.318747585927501,4.275590013459277,4.0288668189151994e-10,4.3169261842153316e-13,1.6569596537837632e-10,0.41127188568370476,-5.7440635046108695e-05,-9.517681475911975e-15,0.0,-0.2959001560627094,-0.29529842631459896,0.00247046806101312,0.2959001560627094,0,0
0,1,0.03493418511502632,-3.248879215697448,4.205723966490107,4.0375061257376917e-10,4.3261831915853687e-13,1.6425315171441678e-10,0.406818334385576,-5.934501188236893e-05,-9.747605240208611e-15,0.0,-0.29928591673240107,-0.2978288880591187,0.00393313917709573,0.29928591673240107,0,0
0,2,0.03493418511502632,-3.1790108454673955,4.135857997201561,4.0463451531185477e-10,4.335654199304998e-13,1.6014537890607396e-10,0.395777850988932,-6.134568434191062e-05,-9.824227863187685e-15,0.0,-0.3032779638589786,-0.3020515366555306,0.0011073515034411168,0.3032779638589786,0,0
0,3,0.03493418511502632,-3.109142475237343,4.065992109555805,4.0426865897949737e-10,4.331734052892144e-13,1.6027966555129276e-10,0.39646819507574393,-6.344925554945875e-05,-1.0169625458945754e-14,0.0,-0.30135300542542953,-0.3003053896718049,-0.0018734098270215254,0.30135300542542953,0,0
0,4,0.03493418511502632,-3.0392741050072902,3.996126307789118,4.04652380273407e-10,4.335845622163512e-13,1.594509627482922e-10,0.39404429708422256,-6.56629044394688e-05,-1.047001332972241e-14,0.0,-0.3031001662357306,-0.30139411287804546,-0.0014614238020013628,0.3031001662357306,0,0
0,5,0.03493418511502632,-2.9694057347772373,3.926260596436017,4.0440327756386795e-10,4.3331764894825593e-13,1.6166281566412622e-10,0.39975644272218985,-6.799444707535661e-05,-1.0992173763727561e-14,0.0,-0.3011079536053074,-0.2989537337441436,-0.0001818699283590762,0.3011079536053074,0,0
0,6,0.03493418511502632,-2.899537364547185,3.856394980355969,4.050476771935158e-10,4.340081224137113e-13,1.6173884847951307e-10,0.39930817428744475,-7.045240572409266e-05,-1.1394890974426203e-14,0.0,-0.3038648277702274,-0.3006156849491023,0.003788687006774468,0.3038648277702274,0,0
0,7,0.03493418511502632,-2.8296689943171325,3.7865294647630265,4.047730777278737e-10,4.337138894006403e-13,1.6629520290887485e-10,0.41083563126862416,-7.304608682770582e-05,-1.214721383071263e-14,0.0,-0.300931824307845,-0.29674625227206136,0.008513707848530411,0.300931824307845,0,0
0,8,0.03493418511502632,-2.7598006240870796,3.7166640552587737,4.0590825426937755e-10,4.3493022976530736e-13,1.6632376974212858e-10,0.4097570522223212,-7.57856692057367e-05,-1.2604958194728076e-14,0.0,-0.3057735650859499,-0.300117578858593,0.01564819616686408,0.3057735650859499,0,0
0,9,0.03493418511502632,-2.6899322538570267,3.6467987578690115,4.055595420478595e-10,4.345565850191597e-13,1.736294391972545e-10,0.4281231759965957,-7.868230405205953e-05,-1.3661564327306962e-14,0.0,-0.3012828021171036,-0.2943055002213126,0.023711478335011933,0.3012828021171036,0,0
0,10,0.03493418511502632,-2.6200638836269743,3.576933579084687,4.0740678995630497e-10,4.3653590903832435e-13,1.731023719820177e-10,0.42488828426394953,-8.174822856340558e-05,-1.4150812269653635e-14,0.0,-0.3090176971512759,-0.3002487733666675,0.034154754781893,0.3090176971512759,0,0
0,11,0.03493418511502632,-2.550195513396922,3.5070685259076573,4.0706107192144766e-10,4.3616547255975324e-13,1.8353059961726627e-10,0.45086747978859293,-8.499689536535111e-05,-1.559953117200893e-14,0.0,-0.3027403291292336,-0.2923394907306105,0.045947299648436996,0.3027403291292336,0,0
0,12,0.03493418511502632,-2.4803271431668694,3.4372036059019697,4.0989943393461057e-10,4.392067742074993e-13,1.8210069240147264e-10,0.4442569989753202,-8.844312029636882e-05,-1.61055534441155e-14,0.0,-0.3141340180466874,-0.30169778575175077,0.06008880277375838,0.3141340180466874,0,0
0,13,0.03493418511502632,-2.410458772936816,3.367338827251434,4.098423095184275e-10,4.391455654609552e-13,1.9579867403966309e-10,0.47774148615776213,-9.210325158712797e-05,-1.8033694535501152e-14,0.0,-0.30646526722797823,-0.29222142099792153,0.07642817438366191,0.30646526722797823,0,0
0,14,0.03493418511502632,-2.3405904027067637,3.2974741988244314,4.1411974326653406e-10,4.437288308252366e-13,1.9313344424694826e-10,0.46637101318457186,-9.599536404935885e-05,-1.853991529059235e-14,0.0,-0.32243533358737725,-0.3060789419093832,0.09488528868133216,0.32243533358737725,0,0
0,15,0.03493418511502632,-2.2707220324767112,3.227609730247011,4.1503918543384236e-10,4.4471401205492874e-13,2.0962127233883756e-10,0.5050638101067962,-0.00010013948259022448,-2.099136575191573e-14,0.0,-0.314987519911761,-0.2969295051823206,0.1169808352008778,0.314987519911761,0,0
0,16,0.03493418511502632,-2.200853662246659,3.157745431985576,4.2163169962995573e-10,4.517778834689477e-13,2.0514718410319204e-10,0.4865554091004995,-0.00010455784022442581,-2.144974649795242e-14,0.0,-0.33702153407795327,-0.31707173464997035,0.14064867782842305,0.33702153407795327,0,0
0,17,0.03493418511502632,-2.1309852920166055,3.087881315440626,4.249877131428438e-10,4.553738481060384e-13,2.2266698896465142e-10,0.5239374741401293,-0.00010927517680554644,-2.4331974587870942e-14,0.0,-0.3335259410121708,-0.3124445289708262,0.16990794412312626,0.3335259410121708,0,0
0,18,0.03493418511502632,-2.061116921786553,3.0180173930533414,4.3576183149475185e-10,4.669183035858794e-13,2.1506662773366036e-10,0.49354168307017166,-0.00011431908598934744,-2.4586220309323293e-14,0.0,-0.36433734138036694,-0.3419742780669043,0.19985330251744293,0.36433734138036694,0,0
