mode,beta,f,reset_duty,A,C
UNRESTRICTED_CONVERSION,0.05,0.9429149525240064,0.302287636525826,0.1560129294998403,6.475236081326344
HEADON_KINETIC_LIMITED,0.05,0.0012507822280910519,0.0006397892922444468,-0.18691448945262445,inf
UNRESTRICTED_CONVERSION,0.053970711297071136,0.9429149525240064,0.302287636525826,0.1559815705336539,6.479777601491276
HEADON_KINETIC_LIMITED,0.053970711297071136,0.0014574809643366216,0.0006397892922444468,-0.1869236989236296,inf
UNRESTRICTED_CONVERSION,0.05794142259414226,0.9429149525240064,0.302287636525826,0.15594781632750526,6.484668050132703
HEADON_KINETIC_LIMITED,0.05794142259414226,0.001680015452076078,0.0006397892922444468,-0.18693356427902041,inf
UNRESTRICTED_CONVERSION,0.06191213389121339,0.9429149525240064,0.3024081100285954,0.15589248784727255,6.490706315205521
HEADON_KINETIC_LIMITED,0.06191213389121339,0.0019183962836323287,0.0006397892922444468,-0.186944074998535,inf
UNRESTRICTED_CONVERSION,0.06588284518828452,0.9429149525240064,0.30252858353136486,0.1558347706234787,6.4970961419455175
HEADON_KINETIC_LIMITED,0.06588284518828452,0.0021726348160736597,0.0008957049155382465,-0.18699177929699945,inf
UNRESTRICTED_CONVERSION,0.06985355648535566,0.9429149525240064,0.30264904814339644,0.15577466285396233,6.503838290331405
HEADON_KINETIC_LIMITED,0.06985355648535566,0.002442743173933337,0.0008957049155382465,-0.18700353958144686,inf
UNRESTRICTED_CONVERSION,0.07382426778242679,0.9429149525240064,0.30276951275542807,0.15571216755289816,6.510933352859963
HEADON_KINETIC_LIMITED,0.07382426778242679,0.0027287342521150615,0.0008957049155382465,-0.18701590874221158,inf
UNRESTRICTED_CONVERSION,0.07779497907949791,0.9429149525240064,0.3030104242046578,0.1556281132649304,6.519185065048579
HEADON_KINETIC_LIMITED,0.07779497907949791,0.0030306217189915996,0.0011516204452282962,-0.18706541183092368,inf
UNRESTRICTED_CONVERSION,0.08176569037656904,0.9429149525240064,0.3030104242046578,0.15558001195565388,6.526185361258966
HEADON_KINETIC_LIMITED,0.08176569037656904,0.0033484200196925995,0.0011516204452282962,-0.1870789495824102,inf
UNRESTRICTED_CONVERSION,0.08573640167364018,0.9429149525240064,0.30313087104519854,0.15551035286763074,6.534343861494615
HEADON_KINETIC_LIMITED,0.08573640167364018,0.003682144379587915,0.001407535854570995,-0.1871295756270203,inf
UNRESTRICTED_CONVERSION,0.0897071129707113,0.9429149525240064,0.3034921938054014,0.15539998525302298,6.5444719279249925
HEADON_KINETIC_LIMITED,0.0897071129707113,0.004031810807965552,0.001407535854570995,-0.1871442200834481,inf
UNRESTRICTED_CONVERSION,0.09367782426778243,0.9429149525240064,0.3034921938054014,0.15534472051040651,6.552537849189416
HEADON_KINETIC_LIMITED,0.09367782426778243,0.004397436101907903,0.0016634511168229869,-0.18719590258294466,inf
UNRESTRICTED_CONVERSION,0.09764853556485356,0.9429149525240064,0.3036126228879087,0.15526790794094666,6.5617685737765505
HEADON_KINETIC_LIMITED,0.09764853556485356,0.004779037850367929,0.0016634511168229869,-0.18721158569387808,inf
UNRESTRICTED_CONVERSION,0.1016192468619247,0.9429149525240064,0.30385347217900704,0.15516956031923643,6.572169135947308
HEADON_KINETIC_LIMITED,0.1016192468619247,0.00517663443844707,0.001919366205241216,-0.18726425196029597,inf
UNRESTRICTED_CONVERSION,0.10558995815899583,0.9429149525240064,0.30397389238759814,0.15508798502776963,6.582119882532505
HEADON_KINETIC_LIMITED,0.10558995815899583,0.005590245051879217,0.001919366205241216,-0.18728089946493134,inf
UNRESTRICTED_CONVERSION,0.10956066945606695,0.9429149525240064,0.30421471506380654,0.15498488197582713,6.593245803652455
HEADON_KINETIC_LIMITED,0.10956066945606695,0.006019889681720847,0.002175281093082981,-0.1873344705753862,inf
UNRESTRICTED_CONVERSION,0.11353138075313808,0.9429149525240064,0.30433511753487474,0.15489854475655968,6.603920879610471
HEADON_KINETIC_LIMITED,0.11353138075313808,0.006465589129251215,0.002175281093082981,-0.18735200195230853,inf
UNRESTRICTED_CONVERSION,0.11750209205020921,0.9429149525240064,0.3046963072209523,0.15477155331612547,6.616594726349982
HEADON_KINETIC_LIMITED,0.11750209205020921,0.006927365011086262,0.0024311957536059903,-0.1874063926964492,inf
UNRESTRICTED_CONVERSION,0.12147280334728035,0.9429149525240064,0.3046963072209523,0.15469959682145995,6.627180499144792
HEADON_KINETIC_LIMITED,0.12147280334728035,0.0074052397645084644,0.0024311957536059903,-0.1874247211087523,inf
UNRESTRICTED_CONVERSION,0.12544351464435147,0.9429149525240064,0.304937076715823,0.15458699499333228,6.639771071584673
HEADON_KINETIC_LIMITED,0.12544351464435147,0.007899236653013952,0.0026871101600684146,-0.18747983993151812,inf
UNRESTRICTED_CONVERSION,0.1294142259414226,0.9429149525240064,0.30517782849758646,0.15447202300720808,6.652731943376512
HEADON_KINETIC_LIMITED,0.1294142259414226,0.008409379772084336,0.002943024285728944,-0.18753528029117522,inf
UNRESTRICTED_CONVERSION,0.13338493723849373,0.9429149525240064,0.30541856257331756,0.15435468207026617,6.666064486898294
HEADON_KINETIC_LIMITED,0.13338493723849373,0.008935694055182353,0.002943024285728944,-0.18755462110673368,inf
UNRESTRICTED_CONVERSION,0.13735564853556487,0.9429149525240064,0.3055389207617259,0.154254087754734,6.6789423900982765
HEADON_KINETIC_LIMITED,0.13735564853556487,0.009478205279977558,0.0031989381038468414,-0.1876106397946534,inf
UNRESTRICTED_CONVERSION,0.14132635983263597,0.9429149525240064,0.3058999776351976,0.1541128981741863,6.693850268781077
HEADON_KINETIC_LIMITED,0.14132635983263597,0.01003694007480449,0.0034548515876819956,-0.18766690092320373,inf
UNRESTRICTED_CONVERSION,0.14529707112970713,0.9429149525240064,0.30602031813545494,0.15400756253469405,6.707474266057517
HEADON_KINETIC_LIMITED,0.14529707112970713,0.010611925925358312,0.0034548515876819956,-0.1876870214517935,inf
UNRESTRICTED_CONVERSION,0.14926778242677824,0.9429149525240064,0.30638132195892587,0.15386165296870158,6.72314016152449
HEADON_KINETIC_LIMITED,0.14926778242677824,0.011203191181630046,0.003710764710494979,-0.1877436965113682,inf
UNRESTRICTED_CONVERSION,0.1532384937238494,0.9429149525240064,0.3066219676121291,0.15373248539617113,6.73835298983503
HEADON_KINETIC_LIMITED,0.1532384937238494,0.011810765065088491,0.003966677445547098,-0.18780052752956053,inf
UNRESTRICTED_CONVERSION,0.1572092050209205,0.9429149525240064,0.3068625956026561,0.1536009561224014,6.753946533301046
HEADON_KINETIC_LIMITED,0.1572092050209205,0.012434677676109285,0.004222589766100454,-0.18785748388685009,inf
UNRESTRICTED_CONVERSION,0.16117991631799164,0.9429149525240064,0.307103205937884,0.1534670663567502,6.7699224373581774
HEADON_KINETIC_LIMITED,0.16117991631799164,0.013074960001659863,0.004478501645417988,-0.18791453412283224,inf
UNRESTRICTED_CONVERSION,0.16515062761506277,0.9429149525240064,0.3073437986252333,0.1533308173088911,6.786282387944744
HEADON_KINETIC_LIMITED,0.16515062761506277,0.013731643923241887,0.004478501645417988,-0.1879353661747953,inf
UNRESTRICTED_CONVERSION,0.16912133891213388,0.9429149525240064,0.3075843736721674,0.15319221018881446,6.803028111907994
HEADON_KINETIC_LIMITED,0.16912133891213388,0.014404762225097234,0.004734413056763547,-0.1879925225757484,inf
UNRESTRICTED_CONVERSION,0.17309205020920504,0.9429149525240064,0.3079452009805266,0.1530321781796901,6.821011179233157
HEADON_KINETIC_LIMITED,0.17309205020920504,0.015094348602682661,0.004990323973401927,-0.188049673756593,inf
UNRESTRICTED_CONVERSION,0.17706276150627615,0.9429149525240064,0.30830599304576173,0.15286980335601139,6.839389200471007
HEADON_KINETIC_LIMITED,0.17706276150627615,0.015800437671418477,0.005246234368598937,-0.1881067848363413,inf
UNRESTRICTED_CONVERSION,0.1810334728033473,0.9429149525240064,0.30854649760653374,0.152724142518055,6.85730852495379
HEADON_KINETIC_LIMITED,0.1810334728033473,0.016523064975715984,0.005502144215621448,-0.18816382006367266,inf
UNRESTRICTED_CONVERSION,0.1850041841004184,0.9429149525240064,0.3087869845648556,0.15257612885010946,6.87562106185636
HEADON_KINETIC_LIMITED,0.1850041841004184,0.01726226699829092,0.00575805348773745,-0.18822074281047663,inf
UNRESTRICTED_CONVERSION,0.18897489539748957,0.9429149525240064,0.3091476798167653,0.1524067198814422,6.895190217188116
HEADON_KINETIC_LIMITED,0.18897489539748957,0.01801808116976622,0.006013962158216106,-0.1882775155651996,inf
UNRESTRICTED_CONVERSION,0.19294560669456068,0.9429149525240064,0.30950833990255866,0.15223497493169408,6.9151625743916245
HEADON_KINETIC_LIMITED,0.19294560669456068,0.018790545878573428,0.006269870200327805,-0.1883340999259887,inf
UNRESTRICTED_CONVERSION,0.19691631799163178,0.9429149525240064,0.309748756528734,0.1520799248702615,6.934672525387959
HEADON_KINETIC_LIMITED,0.19691631799163178,0.019579700481156648,0.006525777587344217,-0.18839045659363124,inf
UNRESTRICTED_CONVERSION,0.20088702928870295,0.9429149525240064,0.31010934634515075,0.1519035032385496,6.955454798171026
HEADON_KINETIC_LIMITED,0.20088702928870295,0.020385585312486465,0.006781684292538348,-0.18844654536428423,inf
UNRESTRICTED_CONVERSION,0.20485774058577405,0.9429149525240064,0.31046990105860883,0.15172475085499992,6.976646964929166
HEADON_KINETIC_LIMITED,0.20485774058577405,0.02120824169689106,0.007037590289184598,-0.18850232512199003,inf
UNRESTRICTED_CONVERSION,0.2088284518828452,0.9429149525240064,0.31083041192342553,0.151543666976166,6.99825148826904
HEADON_KINETIC_LIMITED,0.2088284518828452,0.02204771195921107,0.007293495550558809,-0.18855775383097345,inf
