valid,kind,p1,p2,ncycle,beta,pot_a,pot_b,chi,tail_n,model,phase_delta,nphase,length,core_radius,tube_curvature,finite_core_clear,K_low_window,K_high_window,K_ratio,E_mobile,S_mobile,E_localization_proxy,E_guide_floor,E_curvature_proxy,E_support,E_compensation,q_compensation,E_total,S_total,laue_residual,A_out,C,negative_active_participation,cancellation
True,ELLIPSE,2.690254339310333,0.05738482406362891,1,0.16716893687844275,0.7703859870461747,0.1542352065658195,0.5064479907762675,,POINT_VIRIAL,0.0,16384,10.827428046599305,0.0,0.0,True,0.042759486760648696,0.8912066032134242,20.842312916477667,1.0177546745075285,-0.11175505977910011,0.0,0.0,0.0,0.0,0.3765032447622096,4.0,1.3942579192697382,1.3942579192697382,0.0,0.43857160951007,3.1790884066282104,0.45795685913694123,1.208785621159038
True,ELLIPSE,2.690254339310333,0.05738482406362891,1,0.16716893687844275,0.7703859870461747,0.1542352065658195,0.5064479907762675,,POINT_VIRIAL,0.0,4096,10.827428046599307,0.0,0.0,True,0.04276007948481464,0.8911241559234041,20.840095871193796,1.0177546671709812,-0.11175584003548383,0.0,0.0,0.0,0.0,0.376503502402155,4.0,1.3942581695731362,1.3942581695731362,0.0,0.4385707577482446,3.179095151559308,0.45774240933540583,1.2087853137777824
True,ELLIPSE,2.690254339310333,0.05738482406362891,1,0.16716893687844275,0.7703859870461747,0.1542352065658195,0.5064479907762675,,POINT_VIRIAL,0.0,384,10.827428046599533,0.0,0.0,True,0.042775427168354085,0.8890166446383384,20.78334930798883,1.0177537953441642,-0.11184856055116976,0.0,0.0,0.0,0.0,0.37653411863177794,4.0,1.394287913975942,1.3942879139759419,-2.220446049250313e-16,0.4385524651466406,3.1792955798566274,0.4542983365885543,1.2087244707771616
True,ELLIPSE,2.0460414637795203,0.07066112669184804,1,0.059578574094921344,0.9744156919186935,0.2596653946172021,0.3067374474308752,,POINT_VIRIAL,0.0,16384,8.2565289692246,0.0,0.0,True,0.08551518221929091,0.9242202567061969,10.807674528906132,1.0013585063001398,-0.8531977424122563,0.0,0.0,0.0,0.0,0.6181854162374654,4.0,1.6195439225376052,1.6195439225376052,0.0,0.5028120625607944,3.220972691644183,0.48162260501450715,1.1436025731364057
True,ELLIPSE,2.0460414637795203,0.07066112669184804,1,0.059578574094921344,0.9744156919186935,0.2596653946172021,0.3067374474308752,,POINT_VIRIAL,0.0,4096,8.2565289692246,0.0,0.0,True,0.08551626735667872,0.9241673672817902,10.80691891552273,1.0013585052477523,-0.8531986308001374,0.0,0.0,0.0,0.0,0.6181857120159632,4.0,1.6195442172637153,1.6195442172637153,0.0,0.5028094015926743,3.220990323835885,0.48191450751828824,1.1436020376791727
True,ELLIPSE,2.0460414637795203,0.07066112669184804,1,0.059578574094921344,0.9744156919186935,0.2596653946172021,0.3067374474308752,,POINT_VIRIAL,0.0,384,8.2565289692246,0.0,0.0,True,0.0855443614825995,0.922809473266807,10.787496186461276,1.0013583799535595,-0.8533043996603444,0.0,0.0,0.0,0.0,0.618220926537968,4.0,1.6195793064915276,1.6195793064915276,0.0,0.5027423996328552,3.2214893903404223,0.47995773644513734,1.1435782896616025
True,ELLIPSE,3.185541257630724,0.04447447616606951,1,0.08317696617916226,0.7703859870461747,0.1542352065658195,0.5064479907762675,,POINT_VIRIAL,0.0,16384,12.79259355691121,0.0,0.0,True,0.02717225093459641,0.870242438907088,32.02688069537415,1.004302425993071,-0.13865955934834,0.0,0.0,0.0,0.0,0.380987328447137,4.0,1.385289754440208,1.385289754440208,0.0,0.4255387902401148,3.25537832557766,0.46140468851399613,1.141964258399125
True,ELLIPSE,3.185541257630724,0.04447447616606951,1,0.08317696617916226,0.7703859870461747,0.1542352065658195,0.5064479907762675,,POINT_VIRIAL,0.0,4096,12.79259355691121,0.0,0.0,True,0.0271726420251113,0.8701356216738438,32.02248868070015,1.0043024242007372,-0.13866033475806655,0.0,0.0,0.0,0.0,0.3809875863196013,4.0,1.3852900105203385,1.3852900105203385,0.0,0.4255382254955831,3.2553832476671762,0.46097892389618433,1.141963797974639
True,ELLIPSE,3.185541257630724,0.04447447616606951,1,0.08317696617916226,0.7703859870461747,0.1542352065658195,0.5064479907762675,,POINT_VIRIAL,0.0,384,12.792593556945828,0.0,0.0,True,0.027182769341617747,0.8674156406877092,31.9104955711656,1.004302212191881,-0.13875205525686465,0.0,0.0,0.0,0.0,0.38101808914958185,4.0,1.3853203013414628,1.3853203013414628,0.0,0.4255263697169449,3.255545131698798,0.46578298583213984,1.1418986959973567
True,ELLIPSE,2.262438686558234,0.10051144422963262,1,0.04142493411898613,0.7703859870461747,0.1542352065658195,0.5064479907762675,,POINT_VIRIAL,0.0,16384,9.195747244285563,0.0,0.0,True,0.06675481596180874,0.8767137749860873,13.133341203242416,1.0010616020372265,-0.14514120333555913,0.0,0.0,0.0,0.0,0.3820676017909285,4.0,1.383129203828155,1.383129203828155,0.0,0.4169519436579898,3.3172388925537293,0.46221003601602784,1.2919644606393146
True,ELLIPSE,2.262438686558234,0.10051144422963262,1,0.04142493411898613,0.7703859870461747,0.1542352065658195,0.5064479907762675,,POINT_VIRIAL,0.0,4096,9.195747244285563,0.0,0.0,True,0.06675568993091567,0.8766555213695408,13.132296621857654,1.0010616016073,-0.14514195451440406,0.0,0.0,0.0,0.0,0.38206785204056803,4.0,1.383129453647868,1.383129453647868,0.0,0.4169506525395015,3.31724976378789,0.4620013239208712,1.291964360353641
True,ELLIPSE,2.262438686558234,0.10051144422963262,1,0.04142493411898613,0.7703859870461747,0.1542352065658195,0.5064479907762675,,POINT_VIRIAL,0.0,384,9.195747244285561,0.0,0.0,True,0.0667783179895046,0.8751616020123766,13.105475375254644,1.0010615504205185,-0.14523138939568275,0.0,0.0,0.0,0.0,0.3820976466054004,4.0,1.383159197025919,1.383159197025919,0.0,0.4169216538478707,3.317551833205132,0.46088236983295555,1.291962130214112
True,ELLIPSE,2.569776765020878,0.062431377694010734,1,0.3551016938686371,0.9744156919186935,0.2596653946172021,0.3067374474308752,,POINT_VIRIAL,0.0,4096,10.35251527596073,0.0,0.0,True,0.04820912678122443,0.8945977776764191,18.55660613261367,1.0550274217192874,-0.7458607776231887,0.0,0.0,0.0,0.0,0.600296066447492,4.0,1.6553234881667795,1.6553234881667793,-2.220446049250313e-16,0.496385992437917,3.334750604135573,0.47039074026881045,1.1141752326615313
True,ELLIPSE,2.569776765020878,0.062431377694010734,1,0.3551016938686371,0.9744156919186935,0.2596653946172021,0.3067374474308752,,POINT_VIRIAL,0.0,384,10.35251527596076,0.0,0.0,True,0.048226215590266165,0.8926437311140402,18.509512309612134,1.0550223221312378,-0.7459770031920283,0.0,0.0,0.0,0.0,0.6003331084410887,4.0,1.6553554305723264,1.6553554305723264,0.0,0.49634735881662106,3.335074522243824,0.4691138846458873,1.114169682946255
