A_refined,C_after_10pct_impulse_loss,C_after_25pct_impulse_loss,C_after_50pct_impulse_loss,C_refined,a,aspect,b,baseline_active,beta,bottom_duty,bottom_kernel,chi_plus,coarse_C,conversion_gain_refined,curvature_concentration,duty_class,f,family,guide_factor,halfwidth,interaction_arc_length_over_h,inventory_energy,k_avg,loss,max_additional_impulse_loss_to_still_beat_006D,negative_packet_interaction,overhead,overhead_active_ratio,overhead_attraction_refined,packet_active_interaction,psi,q,reset_duty_required,top_duty,top_kernel,virial_feasible_refined
0.1294393208755345,17.168061507052045,20.601673808462454,30.902510712693683,15.451255356346842,1.4282234860770318,1.7594418678880728,2.512876198104988,2.0,1.0,0.6660509008518402,0.0507598119999575,3.0,12.487064777198997,0.4621537841141089,2.473728333003293,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1428170346666604,4.2016275526530045,2.0,0.1663572316192872,0.2517785676755011,0.3450522927812316,True,0.0,0.0,0.0,-2.0,2.308668561319976,2.0,0.6660309763373005,0.33301548816865023,0.39770749406188166,True
0.1267036675239353,17.538736373218455,21.04648364786215,31.569725471793223,15.784862735896612,1.3349662840021115,1.784949034455798,2.382846779660613,2.0,1.0,0.6615510262503725,0.05495673468005569,3.0,12.500775742729424,0.4753166040982673,2.5351091571920685,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1387564288917542,3.94039097089311,2.0,0.174306468287166,0.13817442022264004,0.33091134544017087,True,0.0,0.0,0.0,-2.0,1.8462547490714676,2.0,0.6615281074658371,0.33076405373291856,0.4142151832758591,True
0.12784371186062005,17.38233496102625,20.858801953231502,31.28820292984725,15.644101464923626,1.3575187892605967,1.8071759554041618,2.4532753149611195,2.0,1.0,0.6644586232180603,0.05301946647996961,3.0,12.512732798029187,0.46864177573243815,2.589236846735115,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1440673736482927,4.059882459271337,2.0,0.17039903193590905,0.499811751767993,0.3368779332392061,True,0.0,0.0,0.0,-2.0,2.7820748643641346,2.0,0.6644256639656948,0.3322128319828474,0.4056889192967312,True
0.12721173898739757,17.468688345203503,20.962426014244205,31.44363902136631,15.721819510683154,1.2392496657613579,2.1540893042305407,2.6694544502878133,2.0,1.0,0.6587977096650864,0.048395201508384944,3.0,12.533759190180804,0.4509906676334058,3.5117848437238335,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1560107437362284,4.18136361894306,2.0,0.1618894643230041,0.36372803151607513,0.33358362124281427,True,0.0,0.0,0.0,-2.0,2.993074472087586,2.0,0.6587870556676174,0.3293935278338087,0.39068463703856376,True
0.12827113516417943,17.324413784737384,20.78929654168486,31.18394481252729,15.591972406263645,1.3590090473976228,1.8422365534934542,2.503616143644219,2.0,1.0,0.6606847084070397,0.051328766093859876,3.0,12.541255598594992,0.46417434132212665,2.6758315631107403,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1414181071942808,4.096935524620468,2.0,0.1679516030789736,0.19455113913863897,0.3390875794240258,True,0.0,0.0,0.0,-2.0,1.1099717443860948,2.0,0.6606531829411919,0.33032659147059595,0.4026307726793413,True
0.1255902772017191,17.694221811876087,21.233066174251302,31.849599261376955,15.924799630688478,1.1801033251983644,2.2030548096784037,2.599832306495734,2.0,1.0,0.6584573069017465,0.05067781754272777,3.0,12.557331518251088,0.4571456059237053,3.6538255599519913,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1577250847863423,4.048579242020319,2.0,0.1657776643609931,0.08914545038715005,0.32497970129310805,True,0.0,0.0,0.0,-2.0,0.7881435695793975,2.0,0.6584309391179258,0.3292154695589629,0.3978275725797586,True
-inf,inf,inf,inf,inf,1.320883629841066,1.8647513639931297,2.463119550422324,2.0,1.0,nan,nan,3.0,12.55769620790823,-inf,2.7322244318841182,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1508005709763562,4.053578188561285,2.0,0.17052362517127734,0.42728935834020376,0.0,True,0.0,0.0,inf,-2.0,1.5550128875455842,2.0,0.6666972854780604,0.3333486427390302,0.40468210093962964,False
-inf,inf,inf,inf,inf,1.2107115643301345,2.1955979574679567,2.658235837726078,2.0,1.0,nan,nan,3.0,12.56104476447999,-inf,3.63200485077799,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1735274296296099,4.22364617362407,2.0,0.1627124893434357,0.4829473327845335,0.0,True,0.0,0.0,inf,-2.0,2.9850375975861705,2.0,0.6712794679428411,0.33563973397142055,0.3868575700745378,False
0.1285783667010556,17.28301796980268,20.73962156376321,31.10943234564482,15.55471617282241,1.5386550036545568,1.4731735159993364,2.2667058016437553,2.0,1.0,0.6568570854938038,0.054870672439558794,3.0,12.562101323235254,0.48042978560206673,1.838415914443569,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1053993757398646,3.962137735014464,2.0,0.17592570945050556,0.2490917667746544,0.34066679639437514,True,0.0,0.0,0.0,-2.0,1.3506328061424506,2.0,0.6568233362520834,0.3284116681260417,0.4205957181045436,True
0.12405563357489074,17.9131100957273,21.495732114872762,32.24359817230914,16.12179908615457,1.26140801332351,1.827928045524906,2.3057630844038983,2.0,1.0,0.6534405083349111,0.05741349696612518,3.0,12.563824602125187,0.48342997905904267,2.640311977581554,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1308145561542382,3.7401317237202654,2.0,0.17968717274207596,0.09113540127873421,0.3166292897113161,True,0.0,0.0,0.0,-2.0,2.442302070701558,2.0,0.6534092675117606,0.3267046337558803,0.42734516949183793,True
