family,family_version,probe_id,sample_count,response_exponent,energy_exponent,efficiency_exponent,scaffold_exponent,beneficial_collective_scaling,proof_reference
032V8_FADDEEV_HOPF_SHARED_SCAFFOLD,1,HOPF_Q_SHARED_SCAFFOLD_CONDITIONAL_LINEAR_RESPONSE,5,1.0,0.7500000000000001,0.2499999999999999,0.7500000000000001,1,VAKULENKO_KAPITANSKI_LOWER_AND_LIN_YANG_UPPER_Q_3_OVER_4
032V7_CPN_SHARED_SCAFFOLD_SOURCE,1,NOETHER_Q_SHARED_SCAFFOLD_CONDITIONAL_LINEAR_RESPONSE,5,1.0,0.8333333333333334,0.16666666666666663,0.8333333333333334,1,Klimas_Kubaski_Sawado_Yanai_arXiv_2107_09831
